peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8	Arm_P14_Day30_H3K9me3_Rep1_S3	Arm_P14_Day30_H3K9me3_Rep2_S4	Arm_P14_Day30_H3K9me3_Rep3_S1	Arm_P14_Day30_H3K9me3_Rep4_S2	Cl13_P14_Day32_H3K9me3_Rep1_S5	Cl13_P14_Day32_H3K9me3_Rep2_S6	Cl13_P14_Day32_H3K9me3_Rep3_S7	Cl13_P14_Day32_H3K9me3_Rep4_S8
peak11641	chr9	24834473	24838483	.	4011	25.62	28.48	15.5	16.94	17.19	20.14	14.79	15.26	12.25	18.75	25.69	13.82	6.79	6.56	13.07	6.78
peak11642	chr9	24855475	24870634	.	15160	108.46	89.01	99.52	98.28	104.04	91.93	95.67	94.79	82.1	100	70.96	81.78	39.63	38.25	53.46	38.45
peak11643	chr9	24924220	24935789	.	11570	82.84	89.01	75.05	83.87	67.86	73.54	86.1	72.3	68.62	66.67	53.84	71.41	63.41	48.08	55.84	44.1
peak11645	chr9	25100389	25102004	.	1616	23.06	11.57	14.68	11.86	7.24	17.51	13.05	17.67	3.68	4.17	6.12	3.46	4.53	4.37	4.75	9.05
peak11646	chr9	25126663	25128714	.	2052	12.81	22.25	17.13	22.03	11.76	19.26	18.26	22.49	20.83	20.83	19.58	14.97	18.12	15.3	19.01	14.7
peak11647	chr9	25165189	25167165	.	1977	20.5	12.46	17.13	10.17	20.81	8.76	18.26	8.03	18.38	11.46	24.47	13.82	14.72	26.23	11.88	14.7
peak11648	chr9	25233902	25239746	.	5845	76.01	61.42	76.68	67.78	82.33	75.3	66.97	61.86	72.3	84.38	85.65	66.8	90.58	74.31	72.47	80.29
peak11649	chr9	25342401	25346809	.	4409	32.45	31.15	30.18	35.58	35.28	34.15	36.53	35.35	39.21	32.29	22.02	20.73	26.04	31.69	27.32	40.71
peak11650	chr9	25418223	25426266	.	8044	76.86	96.13	106.87	90.65	101.33	89.3	103.5	84.35	91.9	86.46	81.98	82.93	91.71	100.53	102.17	91.6
peak11651	chr9	25596611	25602496	.	5886	76.86	81	69.34	90.65	82.33	84.93	80.01	73.91	93.13	83.34	85.65	82.93	81.52	89.6	62.96	87.07
peak11652	chr9	25637467	25650647	.	13181	93.95	97.03	110.13	88.96	99.52	99.81	93.93	91.58	100.48	93.75	77.08	90.99	83.79	61.19	78.41	78.03
peak11653	chr9	25688617	25691083	.	2467	19.64	14.24	19.58	18.64	21.71	19.26	12.18	13.66	7.35	5.21	2.45	16.13	4.53	6.56	8.32	7.92
peak11654	chr9	25697802	25701814	.	4013	17.08	30.26	35.89	33.04	38.9	25.39	27.83	33.74	22.06	15.63	14.68	11.52	11.32	9.83	4.75	10.18
peak11655	chr9	25704854	25714493	.	9640	63.2	75.66	66.08	73.71	58.81	49.91	67.84	66.68	22.06	35.42	37.93	29.95	16.98	14.21	19.01	23.75
peak11656	chr9	25715451	26732391	.	1016941	15612.82	15416.32	15239.36	15611.57	15671.84	15404.99	15850.46	15584.35	11482.65	11315.92	11589.26	11646.99	8889.25	9115.56	9507.69	9121.2
peak11657	chr9	26736026	26774176	.	38151	307.46	281.28	264.31	260.09	299.47	282.8	273.09	297.23	438.67	443.76	434.35	450.35	304.57	312.52	348.09	298.54
peak11658	chr9	26783819	26802732	.	18914	107.61	104.15	98.71	108.44	91.38	121.7	89.58	104.43	140.91	131.25	134.59	123.24	79.26	63.38	79.6	66.72
peak11659	chr9	26813975	26851922	.	37948	321.98	372.97	306.73	312.62	338.37	309.06	325.27	316.51	246.29	269.8	282.63	255.7	132.47	144.24	162.76	160.58
peak11660	chr9	26855280	26859394	.	4115	36.72	34.72	26.1	28.81	28.95	21.89	31.31	32.94	20.83	30.21	29.36	25.34	12.45	15.3	14.26	11.31
peak11661	chr9	26862404	26869812	.	7409	66.62	64.09	77.5	68.62	48.86	62.16	62.62	53.02	53.91	37.5	46.49	49.53	37.36	32.78	26.14	12.44
peak11662	chr9	26872674	26886376	.	13703	99.92	85.45	80.76	99.97	80.52	88.43	90.45	84.35	63.72	58.33	63.62	76.02	45.29	32.78	49.9	54.28
peak11663	chr9	26901368	26909832	.	8465	83.7	84.56	88.92	86.42	98.62	91.06	111.32	94.79	69.84	69.79	77.08	82.93	62.27	45.89	64.15	64.46
peak11664	chr9	26910516	26918567	.	8052	34.16	54.3	41.6	33.04	38.9	42.03	35.66	40.97	26.96	19.79	28.14	25.34	15.85	20.76	27.32	16.96
peak11665	chr9	26943766	26957860	.	14095	134.09	123.73	131.34	130.47	123.04	112.94	117.41	122.91	56.37	56.25	55.06	54.13	54.35	55.73	54.65	52.02
peak11668	chr9	27218435	27235016	.	16582	59.78	64.09	61.18	55.92	76	62.16	77.4	61.86	115.18	111.46	105.22	127.85	78.12	86.33	93.85	67.85
peak11669	chr9	27240029	27244201	.	4173	11.1	6.23	11.42	17.79	4.52	4.38	11.31	9.64	26.96	19.79	28.14	17.28	18.12	14.21	20.2	14.7
peak11670	chr9	27246915	27294617	.	47703	174.23	185.15	160.71	166.05	154.71	148.84	186.99	154.24	359.02	384.38	419.67	369.73	295.52	296.13	289.88	272.53
peak11671	chr9	27300298	28259220	.	958923	13777.47	13601.32	13397.35	13606.22	13822.56	13526.97	14011.89	13728.69	13805.9	13783.69	13765.91	14175.18	12189.75	12963.06	13146.58	12789.58
peak11672	chr9	28264188	28402576	.	138389	1699.55	1709.07	1680.48	1745.26	1699.1	1683.65	1737.68	1674.11	1592.94	1581.29	1688.47	1786.44	1294.16	1429.29	1519.47	1337.76
peak11673	chr9	28406540	29410446	.	1003907	14519.64	14414.02	14314.28	14804.18	14716.44	14640.65	14771.15	14790.67	14425.92	14267.03	14361.77	14411.3	12727.56	13379.39	13462.59	13307.49
peak11674	chr9	29411952	30337427	.	925476	11637.23	11421.37	11125.44	11160.32	11359.87	11194.56	11464.51	11335.61	14494.54	14439.95	14646.85	14767.21	13672.99	14091.85	13735.83	14061.75
peak11675	chr9	30338730	30383211	.	44482	383.47	396.11	393.2	393.11	377.28	364.22	347.88	357.48	262.22	290.63	287.53	292.56	192.48	189.04	237.6	219.38
peak11676	chr9	30384285	30401103	.	16819	133.23	106.82	87.29	89.8	97.71	83.18	111.32	82.74	80.87	58.33	86.87	81.78	56.61	64.47	100.98	63.33
peak11677	chr9	30406505	30411253	.	4749	54.66	40.06	40.79	33.89	40.71	30.64	36.53	40.97	47.79	42.71	37.93	42.62	37.36	41.52	40.39	24.88
peak11678	chr9	30510604	30518816	.	8213	66.62	63.2	68.52	64.39	54.28	44.65	66.1	61.05	39.21	38.54	42.82	48.38	23.78	25.13	36.83	30.53
peak11679	chr9	30519600	30823412	.	303813	3029.3	3006.89	2951.45	2982.19	3023.63	2983.81	3024.85	3052.6	3201.81	3250.08	3091.85	3292.99	1875	1931.95	2068.33	1952.93
peak11680	chr9	30825568	30861872	.	36305	181.06	202.06	195.78	186.39	187.28	184.74	187.86	210.47	327.17	268.76	314.45	292.56	115.49	111.46	141.37	143.61
peak11681	chr9	30866149	30876027	.	9879	87.97	100.59	112.58	103.36	106.76	105.94	85.23	102.82	95.58	102.09	91.76	102.51	88.32	91.79	93.85	104.04
peak11684	chr9	31311602	31312739	.	1138	5.12	4.45	7.34	5.08	8.14	5.25	6.09	6.43	13.48	4.17	18.35	11.52	14.72	26.23	21.38	26.01
peak11685	chr9	31372630	31374710	.	2081	27.33	33.83	27.74	27.96	33.48	18.39	25.22	31.33	18.38	34.38	28.14	28.79	27.17	19.67	20.2	19.22
peak11686	chr9	31493337	31496578	.	3242	52.95	50.74	66.08	55.92	55.19	69.17	63.49	63.46	30.63	35.42	39.15	27.64	32.84	27.32	34.45	24.88
peak11687	chr9	31520644	31524936	.	4293	29.04	37.39	26.1	24.57	26.24	21.01	23.48	28.92	30.63	22.92	22.02	11.52	16.98	17.48	17.82	16.96
peak11688	chr9	31533173	31536437	.	3265	46.12	38.28	44.05	38.97	42.52	49.91	34.79	44.99	50.24	55.21	28.14	46.07	60.01	50.27	48.71	33.92
peak11689	chr9	31550358	31551334	.	977	11.96	16.91	12.24	17.79	14.48	18.39	13.05	21.69	11.03	7.29	11.01	2.3	12.45	8.74	9.5	7.92
peak11690	chr9	31618031	31620965	.	2935	15.37	13.35	10.6	13.56	11.76	7.88	10.44	16.07	13.48	20.83	23.25	24.19	12.45	10.93	8.32	6.78
peak11691	chr9	31629253	31635197	.	5945	67.47	54.3	53.02	46.6	57	49.91	47.83	38.56	60.04	69.79	57.51	69.11	48.69	61.19	47.52	37.32
peak11692	chr9	31643080	31661921	.	18842	38.43	49.85	40.79	36.43	34.38	34.15	39.14	44.99	132.34	121.88	156.61	150.89	55.48	55.73	54.65	50.89
peak11693	chr9	31667387	31673697	.	6311	25.62	40.95	22.03	25.42	28.05	19.26	27.83	24.9	34.31	41.67	61.18	41.46	29.44	26.23	24.95	27.14
peak11694	chr9	31676309	31682563	.	6255	2.56	3.56	10.6	9.32	8.14	7	6.09	7.23	29.41	32.29	35.48	50.68	13.59	32.78	33.26	33.92
peak11696	chr9	31691639	31699328	.	7690	21.35	24.92	22.03	13.56	20.81	14.01	21.74	29.72	51.46	55.21	78.31	63.35	40.76	36.06	38.02	46.36
peak11697	chr9	31700483	31718547	.	18065	58.93	56.97	37.53	49.99	41.62	39.4	46.09	40.97	174	152.09	154.16	169.31	98.51	96.16	116.43	90.47
peak11698	chr9	31722533	31743796	.	21264	109.32	128.18	115.02	101.67	111.28	132.21	152.2	126.12	198.5	189.59	205.55	170.47	125.68	165	169.89	162.84
peak11699	chr9	31768323	31773803	.	5481	28.18	30.26	22.84	22.87	25.33	28.89	21.74	29.72	36.76	17.71	45.27	39.16	31.7	18.58	28.51	27.14
peak11700	chr9	31779115	31786967	.	7853	59.78	59.64	50.58	55.92	55.19	43.78	40.88	49	47.79	46.88	39.15	34.55	40.76	39.34	34.45	31.66
peak11701	chr9	31808036	31820178	.	12143	57.22	70.32	62	66.93	73.28	75.3	54.79	48.2	66.17	81.25	84.42	92.14	48.69	46.99	51.08	47.49
peak11702	chr9	31965788	31966994	.	1207	19.64	13.35	26.1	18.64	18.09	20.14	22.61	18.48	12.25	10.42	8.56	12.67	6.79	19.67	19.01	18.09
peak11703	chr9	32078987	32083345	.	4359	44.41	48.07	48.13	56.76	59.71	50.78	55.66	57.04	79.65	70.84	89.32	63.35	98.51	75.4	85.54	82.55
peak11704	chr9	32119930	32122280	.	2351	25.62	24.03	20.39	20.33	24.43	24.51	24.35	20.08	7.35	7.29	6.12	2.3	5.66	5.46	10.69	7.92
peak11705	chr9	32808676	32813540	.	4865	27.33	26.7	23.66	22.03	20.81	25.39	26.09	25.71	36.76	23.96	36.71	24.19	20.38	30.6	21.38	31.66
peak11706	chr9	32839464	32846455	.	6992	111.88	99.7	90.55	89.8	96.81	110.32	94.8	93.18	106.6	121.88	140.71	120.94	131.34	158.45	121.18	116.47
peak11708	chr9	32888866	32895828	.	6963	91.38	105.93	106.87	101.67	107.66	110.32	112.19	93.18	154.39	126.04	122.35	114.03	132.47	157.35	144.94	158.31
peak11709	chr9	32951282	32957957	.	6676	59.78	48.96	71.79	66.93	66.05	69.17	68.71	69.89	98.03	91.67	79.53	82.93	88.32	99.44	84.35	93.86
peak11710	chr9	32992516	32993919	.	1404	15.37	13.35	7.34	10.17	8.14	18.39	11.31	7.23	7.35	4.17	3.67	4.61	22.64	14.21	15.44	13.57
peak11711	chr9	32996792	32998545	.	1754	29.89	25.81	22.84	21.18	20.81	22.76	30.44	27.31	18.38	27.08	15.91	28.79	28.31	29.5	30.89	31.66
peak11712	chr9	33011509	33015644	.	4136	12.81	9.79	5.71	8.47	15.38	14.01	8.7	8.84	12.25	10.42	9.79	3.46	32.84	18.58	20.2	26.01
peak11713	chr9	33018190	33021614	.	3425	24.77	25.81	23.66	31.35	28.05	26.27	24.35	33.74	25.73	38.54	22.02	23.04	36.23	36.06	40.39	62.2
peak11714	chr9	33041492	33048210	.	6719	77.72	76.55	83.21	65.24	77.81	77.92	73.06	64.27	79.65	75	62.4	70.26	79.26	68.84	76.03	78.03
peak11717	chr9	33127151	33132670	.	5520	70.89	81.89	80.76	75.4	71.47	86.68	81.75	61.86	67.39	64.58	57.51	51.83	89.45	62.29	72.47	76.9
peak11718	chr9	33143766	33149495	.	5730	62.35	82.78	53.84	83.87	68.76	70.04	73.93	80.33	72.3	75	75.86	82.93	71.33	86.33	57.02	45.23
peak11719	chr9	33153741	33160839	.	7099	93.95	96.13	91.37	85.57	97.71	82.3	101.76	98.81	136.01	133.34	124.8	131.31	143.8	128.94	142.56	152.66
peak11720	chr9	33215633	33219686	.	4054	25.62	24.92	32.63	31.35	22.62	22.76	26.96	27.31	29.41	27.08	25.69	29.95	38.5	26.23	23.76	29.4
peak11721	chr9	33276693	33280869	.	4177	50.39	34.72	30.18	39.82	30.76	48.15	34.79	39.36	26.96	32.29	29.36	34.55	28.31	37.15	29.7	32.79
peak11723	chr9	33390377	33410057	.	19681	229.74	207.4	230.86	211.8	208.99	245.15	243.52	231.36	176.45	212.51	189.65	181.98	183.42	171.56	173.45	174.15
peak11724	chr9	33422448	33435347	.	12900	81.99	58.75	70.16	66.08	76.9	61.29	54.79	68.28	47.79	52.08	66.07	49.53	32.84	31.69	29.7	33.92
peak11725	chr9	33496446	33498989	.	2544	23.91	20.47	13.05	11.01	16.29	14.01	11.31	14.46	26.96	9.38	25.69	9.21	4.53	18.58	11.88	5.65
peak11726	chr9	33505766	33511516	.	5751	48.68	39.17	48.13	46.6	54.28	49.91	42.62	45.79	45.34	36.46	47.72	34.55	22.64	17.48	41.58	22.62
peak11727	chr9	33518994	33522337	.	3344	17.93	24.92	21.21	17.79	19	18.39	16.52	17.67	29.41	16.67	13.46	16.13	3.4	8.74	10.69	4.52
peak11728	chr9	33530062	33562708	.	32647	251.94	224.31	239.84	227.05	221.66	218.88	194.81	215.29	223.01	239.59	225.13	216.54	99.64	96.16	119.99	97.25
peak11729	chr9	33566475	33568281	.	1807	20.5	12.46	18.76	11.01	11.76	11.38	18.26	21.69	12.25	6.25	11.01	12.67	2.26	7.65	9.5	12.44
peak11730	chr9	33570798	34481009	.	910212	11347.71	11105.37	10752.64	11165.4	10836.93	10647.35	10970.52	10938.77	9601.76	9311.7	9690.34	9685.47	6432.28	6671.12	7214.82	6914.97
peak11731	chr9	34501729	34752642	.	250914	2012.99	1871.07	1978.24	1926.56	1941.56	1837.74	1975.11	1862.89	2877.1	2994.87	2937.69	2956.67	1819.52	1953.8	1932.9	1937.09
peak11732	chr9	34758415	34763979	.	5565	21.35	24.03	21.21	22.03	32.57	21.89	30.44	28.12	57.59	39.58	47.72	36.86	16.98	24.04	30.89	31.66
peak11733	chr9	34768060	34786926	.	18867	82.84	81.89	83.21	86.42	87.76	88.43	108.71	99.61	133.56	151.05	183.53	178.53	80.39	75.4	76.03	61.06
peak11734	chr9	34790255	34793197	.	2943	17.93	19.58	20.39	19.49	19.9	20.14	20	20.08	29.41	32.29	20.8	31.1	13.59	14.21	20.2	14.7
peak11735	chr9	34796300	34820494	.	24195	140.92	129.07	119.1	119.46	127.57	137.46	145.24	138.17	172.77	198.96	216.56	186.59	83.79	109.27	102.17	115.34
peak11736	chr9	34824768	34856016	.	31249	80.28	114.83	105.23	111.83	111.28	97.18	98.28	101.22	204.63	221.88	231.25	215.39	112.09	114.74	109.3	88.2
peak11737	chr9	34861533	34870139	.	8607	27.33	24.92	21.21	23.72	36.19	24.51	28.7	31.33	77.2	55.21	62.4	63.35	30.57	28.41	39.2	44.1
peak11738	chr9	35036500	35038686	.	2187	18.79	13.35	12.24	21.18	14.48	21.89	23.48	22.49	26.96	36.46	39.15	27.64	45.29	40.43	43.96	39.58
peak11739	chr9	35295999	35297540	.	1542	17.93	16.91	18.76	18.64	19	16.64	20	19.28	17.15	20.83	24.47	19.58	33.97	17.48	28.51	20.35
peak11740	chr9	35355975	35357667	.	1693	10.25	10.68	11.42	12.71	8.14	10.51	13.05	8.84	24.51	27.08	14.68	20.73	24.91	17.48	20.2	21.49
peak11741	chr9	35384513	35394573	.	10061	69.18	78.33	86.47	94.89	79.62	71.79	85.23	74.71	91.9	101.04	83.2	84.08	89.45	91.79	85.54	104.04
peak11742	chr9	35601920	35605520	.	3601	26.48	35.61	32.63	33.04	33.48	24.51	30.44	38.56	15.93	12.5	14.68	10.37	22.64	17.48	16.63	30.53
peak11743	chr9	35622013	35630115	.	8103	92.24	111.27	106.87	109.29	94.09	85.8	85.23	90.77	79.65	83.34	81.98	69.11	78.12	75.4	76.03	93.86
peak11744	chr9	35634326	35639793	.	5468	72.59	44.51	48.13	45.75	44.33	43.78	47.83	52.22	39.21	36.46	37.93	46.07	30.57	38.25	20.2	48.63
peak11745	chr9	35643251	35661118	.	17868	148.6	145.98	140.31	166.05	153.81	126.08	154.81	159.86	72.3	84.38	73.41	96.75	63.41	78.68	83.16	74.63
peak11746	chr9	35672618	35682972	.	10355	91.38	81.89	66.08	66.08	71.47	70.92	76.53	72.3	39.21	52.08	47.72	46.07	38.5	37.15	39.2	22.62
peak11747	chr9	35694057	35699323	.	5267	41.85	43.62	47.31	45.75	50.67	31.52	46.96	44.99	20.83	20.83	25.69	24.19	13.59	15.3	9.5	13.57
peak11748	chr9	35702122	35712039	.	9918	87.97	73.88	65.26	59.3	70.57	79.67	67.84	67.48	61.27	51.04	42.82	49.53	48.69	45.89	47.52	37.32
peak11749	chr9	35713965	36677715	.	963751	15003.03	15067.38	14870.63	15250.66	14959.82	15235.14	15318.2	15479.12	11393.2	11161.74	11191.61	11365.95	8188.39	8520.02	9022.98	8922.17
peak11750	chr9	36701678	36703341	.	1664	12.81	16.91	12.24	19.49	18.09	16.64	8.7	9.64	9.8	16.67	17.13	11.52	35.1	21.85	21.38	20.35
peak11752	chr9	37280515	37284232	.	3718	70.89	57.86	57.92	49.99	45.24	44.65	55.66	49.81	63.72	64.58	66.07	64.5	97.37	84.14	92.67	76.9
peak11753	chr9	37331468	37342923	.	11456	100.78	101.48	89.73	100.82	97.71	95.43	101.76	110.05	127.44	142.71	135.81	114.03	165.31	173.74	162.76	160.58
peak11754	chr9	37441819	37447931	.	6113	54.66	48.96	59.55	64.39	42.52	48.15	50.44	53.02	60.04	57.29	58.73	49.53	47.55	61.19	54.65	55.41
peak11756	chr9	37776369	37793153	.	16785	90.53	91.68	82.39	75.4	94.09	71.79	86.97	73.91	100.48	82.29	80.75	97.9	47.55	36.06	48.71	36.19
peak11757	chr9	37849688	37853191	.	3504	21.35	28.48	17.13	22.87	14.48	21.89	12.18	27.31	24.51	26.04	18.35	28.79	6.79	7.65	4.75	5.65
peak11758	chr9	37855747	37862007	.	6261	23.91	32.94	22.03	26.26	24.43	28.02	21.74	26.51	20.83	23.96	41.6	38.01	6.79	8.74	13.07	14.7
peak11759	chr9	37880575	37890818	.	10244	115.3	112.16	94.63	113.53	120.33	97.18	124.37	98	126.21	109.38	91.76	125.55	93.98	80.86	78.41	98.38
peak11760	chr9	37893803	37904289	.	10487	47.83	60.53	54.66	61	65.14	60.41	59.14	60.25	71.07	67.71	67.29	63.35	24.91	37.15	32.08	29.4
peak11761	chr9	37906134	37912267	.	6134	31.6	24.92	33.45	29.65	35.28	28.89	26.96	26.51	44.11	42.71	35.48	29.95	10.19	17.48	15.44	11.31
peak11762	chr9	37916091	37926080	.	9990	49.53	69.43	78.31	54.22	71.47	54.28	68.71	57.04	57.59	39.58	52.61	44.92	13.59	30.6	36.83	14.7
peak11763	chr9	37941828	37998611	.	56784	705.44	701.43	696.67	703.19	709.31	697.8	682.72	702.1	539.15	534.39	565.27	586.27	362.32	335.47	437.19	369.78
peak11764	chr9	38001020	38659606	.	658587	11041.96	10885.51	10897.84	11315.36	11040.5	11008.94	11160.11	10956.44	7855.65	7835.62	7774.3	7968.14	6105.06	6293.03	6568.54	6385.74
peak11765	chr9	38660365	38713760	.	53396	579.9	616.87	551.46	545.6	532.89	547.21	548.79	515.73	316.14	326.05	342.59	340.93	208.33	203.25	247.11	196.76
peak11766	chr9	38755429	39507172	.	751744	11846.47	11440.96	11504.77	11827.08	11446.73	11430.95	11612.36	11449.68	8530.81	8302.3	8559.8	8639.64	6677.98	6699.53	7138.78	6955.67
peak11767	chr9	39510169	39601528	.	91360	988.99	987.16	1023.79	1029.36	970.78	966.59	1005.38	1012.98	885.92	864.61	896.85	873.06	602.35	668.75	660.54	689.8
peak11768	chr9	39604941	40072790	.	467850	5193.45	5040.86	5182.57	5085.81	4978.76	4789.16	5016.49	4935.58	4489.64	4530.32	4562.54	4559.97	2898.55	3001.73	3318.13	3060
peak11769	chr9	40075215	40106308	.	31094	208.39	210.07	198.23	216.04	186.38	181.24	176.55	198.42	111.51	104.17	112.56	112.88	55.48	61.19	102.17	58.8
peak11770	chr9	40130805	40134927	.	4123	23.91	16.91	26.92	25.42	19.9	21.01	11.31	20.08	6.13	6.25	17.13	17.28	13.59	6.56	8.32	11.31
peak11771	chr9	40169409	40175035	.	5627	58.08	55.19	41.6	48.29	63.33	53.41	54.79	53.82	44.11	41.67	47.72	34.55	53.22	46.99	34.45	47.49
peak11773	chr9	40254258	40260488	.	6231	63.2	84.56	70.16	77.94	75.09	71.79	77.4	77.12	73.52	77.09	68.52	73.72	73.6	89.6	91.48	78.03
peak11774	chr9	40382924	40384449	.	1526	8.54	3.56	6.53	8.47	6.33	9.63	7.83	11.25	17.15	9.38	11.01	14.97	16.98	24.04	19.01	15.83
peak11776	chr9	40492653	40498202	.	5550	70.03	71.21	72.6	67.78	77.81	85.8	79.14	61.05	57.59	70.84	64.85	66.8	67.93	87.42	71.28	68.98
peak11777	chr9	40898766	40904526	.	5761	82.84	84.56	63.63	76.25	73.28	85.8	79.14	80.33	79.65	80.21	63.62	70.26	71.33	68.84	72.47	61.06
peak11778	chr9	41281979	41282666	.	688	25.62	19.58	10.6	16.94	28.05	18.39	20.87	19.28	41.66	34.38	45.27	28.79	31.7	28.41	35.64	32.79
peak11779	chr9	41311278	41316230	.	4953	57.22	52.52	57.1	54.22	45.24	54.28	53.05	60.25	33.08	42.71	42.82	33.4	35.1	41.52	28.51	26.01
peak11780	chr9	41778141	41781666	.	3526	32.45	23.14	26.1	33.04	24.43	26.27	22.61	24.9	17.15	21.88	13.46	20.73	13.59	10.93	15.44	21.49
peak11781	chr9	41833062	41834361	.	1300	12.81	15.13	19.58	6.78	9.05	16.64	13.92	8.84	14.7	22.92	13.46	10.37	2.26	12.02	7.13	6.78
peak11782	chr9	41903517	41912499	.	8983	73.45	70.32	74.23	55.07	76	77.05	93.06	65.87	96.8	104.17	90.54	89.84	123.41	112.55	104.55	99.51
peak11783	chr9	42166174	42167903	.	1730	11.1	16.91	13.87	17.79	22.62	13.13	16.52	16.07	11.03	20.83	14.68	17.28	21.51	22.95	26.14	24.88
peak11784	chr9	42181595	42183388	.	1794	18.79	14.24	21.21	18.64	22.62	21.89	27.83	36.95	25.73	32.29	30.59	36.86	36.23	53.54	49.9	56.54
peak11786	chr9	42379262	42381507	.	2246	19.64	39.17	35.89	44.06	44.33	35.9	40.01	32.94	15.93	19.79	19.58	9.21	33.97	30.6	16.63	23.75
peak11787	chr9	42496160	42497202	.	1043	17.08	15.13	12.24	11.86	19.9	13.13	13.05	13.66	9.8	8.33	6.12	11.52	9.06	8.74	8.32	9.05
peak11788	chr9	42558086	42559322	.	1237	17.08	24.03	8.97	19.49	13.57	21.89	16.52	8.03	2.45	1.04	2.45	2.3	2.26	3.28	1.19	2.26
peak11789	chr9	42812273	42815740	.	3468	52.1	70.32	70.97	75.4	82.33	91.93	78.27	83.54	25.73	28.13	34.26	35.71	60.01	78.68	68.9	57.67
peak11790	chr9	43052382	43059622	.	7241	78.57	79.22	89.73	81.33	67.86	84.05	73.93	73.91	42.89	43.75	50.16	44.92	52.08	59.01	61.78	47.49
peak11791	chr9	43096144	43100624	.	4481	7.69	6.23	6.53	8.47	9.95	5.25	8.7	9.64	17.15	14.58	22.02	26.49	23.78	19.67	36.83	30.53
peak11792	chr9	43908356	43912455	.	4100	29.89	25.81	21.21	19.49	22.62	23.64	22.61	22.49	14.7	14.58	11.01	21.88	18.12	14.21	24.95	21.49
peak11793	chr9	43926194	43928932	.	2739	21.35	24.92	17.13	22.03	21.71	25.39	26.09	25.71	23.28	22.92	26.92	34.55	18.12	28.41	28.51	9.05
peak11794	chr9	44033936	44039046	.	5111	11.1	8.01	8.97	10.17	13.57	10.51	11.31	8.03	11.03	16.67	12.24	21.88	24.91	31.69	21.38	30.53
peak11795	chr9	44214339	44220602	.	6264	49.53	49.85	48.95	55.07	49.76	47.28	43.49	56.23	47.79	51.04	59.95	55.29	71.33	65.56	70.09	66.72
peak11797	chr9	44364372	44372457	.	8086	76.86	101.48	99.52	117.76	108.57	100.69	101.76	110.05	158.07	143.75	135.81	137.06	152.85	144.24	149.69	148.14
peak11799	chr9	44671239	44673180	.	1942	25.62	30.26	26.92	39.82	39.81	33.27	28.7	36.95	17.15	17.71	11.01	16.13	9.06	15.3	3.56	10.18
peak11802	chr9	45161622	45166332	.	4711	28.18	32.04	28.55	27.11	26.24	30.64	32.18	29.72	26.96	41.67	37.93	32.25	48.69	39.34	60.59	45.23
peak11803	chr9	45169589	45172197	.	2609	8.54	12.46	8.16	9.32	6.33	16.64	13.92	17.67	13.48	10.42	26.92	9.21	28.31	27.32	17.82	31.66
peak11805	chr9	46319541	46320824	.	1284	17.08	19.58	12.24	17.79	18.09	17.51	18.26	17.67	13.48	9.38	11.01	18.43	23.78	28.41	15.44	18.09
peak11806	chr9	46355275	46357631	.	2357	20.5	21.36	14.68	13.56	18.09	16.64	15.65	17.67	15.93	19.79	35.48	16.13	29.44	31.69	19.01	21.49
peak11807	chr9	46408155	46413703	.	5549	34.16	32.04	39.16	32.19	26.24	29.77	26.09	31.33	22.06	27.08	28.14	26.49	38.5	29.5	35.64	18.09
peak11808	chr9	46434225	46438463	.	4239	30.75	31.15	21.21	33.89	37.09	19.26	22.61	27.31	35.53	38.54	29.36	36.86	33.97	43.71	32.08	32.79
peak11809	chr9	46511742	46528817	.	17076	70.89	63.2	73.42	56.76	57.9	48.15	60.88	66.68	161.74	162.5	165.18	187.74	122.28	140.96	131.87	137.96
peak11810	chr9	46532106	47514456	.	982351	8271.44	8243.58	8231.91	8168.82	8718.94	8724.68	9027.59	8639.67	17366.73	17692.12	17286	17881.67	19231.18	19482.29	18885.88	19464.81
peak11811	chr9	47517649	47524322	.	6674	5.12	9.79	5.71	9.32	6.33	12.26	4.35	13.66	31.86	41.67	34.26	32.25	49.82	38.25	48.71	30.53
peak11812	chr9	47539681	48204605	.	664925	1170.9	1135.82	1067.84	1033.6	1206.92	1137.32	1153.24	1192.12	7175.59	7252.27	7532.04	6991.42	10550.26	10886.87	10522.25	10985.92
peak11813	chr9	48214124	48220051	.	5928	5.98	5.34	5.71	2.54	2.71	1.75	4.35	4.82	26.96	16.67	17.13	21.88	39.63	21.85	29.7	27.14
peak11814	chr9	48378102	48381321	.	3220	27.33	23.14	31.81	24.57	19	26.27	26.09	24.1	24.51	29.17	17.13	29.95	26.04	22.95	36.83	35.06
peak11815	chr9	48400058	48401971	.	1914	30.75	33.83	26.1	35.58	27.14	34.15	30.44	27.31	4.9	4.17	4.89	4.61	3.4	4.37	1.19	9.05
