peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K4me3_Rep1_S1	Naive_P14_Day30_H3K4me3_Rep2_S2	Naive_P14_Day30_H3K4me3_Rep3_S3	Naive_P14_Day30_H3K4me3_Rep4_S4	Naive_P14_Day32_H3K4me3_Rep1_S9	Naive_P14_Day32_H3K4me3_Rep2_S10	Naive_P14_Day32_H3K4me3_Rep3_S11	Naive_P14_Day32_H3K4me3_Rep4_S12	Arm_P14_Day30_H3K4me3_Rep1_S5
peak33125	chr11	113749686	113752850	.	3165	630.87	639.06	560.38	632.4	864.14	840.45	850.64	791.67	651.39
peak33126	chr11	113785617	113789480	.	3864	368.53	396.86	362.69	396.21	288.62	310.06	300.22	287.05	436.59
peak33127	chr11	113794061	113795805	.	1745	31.23	32.98	57.59	35.32	23.33	18.08	21.44	12.21	71.93
peak33128	chr11	113801556	113804211	.	2656	243.6	296.79	241.28	253.84	178.01	202.24	196.58	189.33	400.63
peak33129	chr11	113807642	113808591	.	950	47.89	50.03	43.59	59.6	25.06	24.11	34.85	25.19	65.94
peak33132	chr11	114225978	114227332	.	1355	85.37	76.19	112.08	86.09	51.85	58.26	77.74	68.71	7.99
peak33134	chr11	114320789	114323200	.	2412	153.03	147.83	186.79	152.3	90.73	114.52	101.86	112.99	99.91
peak33135	chr11	114445955	114447558	.	1604	81.2	86.42	63.82	70.63	45.8	47.55	45.57	43.52	19.98
peak33136	chr11	114553562	114555175	.	1614	191.55	189.9	163.45	174.38	124.44	150.01	121.52	138.18	81.92
peak33138	chr11	114668195	114670661	.	2467	480.96	481	429.63	470.16	693.9	703.16	766.64	732.12	548.49
peak33139	chr11	114674855	114677034	.	2180	451.81	440.07	460.76	438.15	450.22	469.44	453.91	449.66	526.51
peak33140	chr11	114699087	114700285	.	1199	62.46	46.62	76.27	46.35	57.9	46.88	57.19	45.81	69.93
peak33142	chr11	114726497	114728577	.	2081	107.23	95.52	98.07	83.88	53.58	56.92	59.87	45.04	71.93
peak33143	chr11	114764421	114766527	.	2107	138.46	153.51	138.54	141.27	73.45	66.97	70.59	78.63	206.81
peak33144	chr11	114788642	114789859	.	1218	54.13	53.44	54.48	52.98	38.89	39.51	38.42	40.46	44.96
peak33145	chr11	114792494	114793497	.	1004	73.91	62.54	96.51	60.7	36.29	28.8	38.42	29.01	38.96
peak33146	chr11	114794853	114796223	.	1371	72.87	94.38	71.6	83.88	46.66	39.51	51.82	59.55	56.95
peak33147	chr11	114807098	114809033	.	1936	226.95	218.33	182.12	172.17	165.05	170.1	172.45	164.9	247.77
peak33151	chr11	114851024	114853243	.	2220	274.83	272.91	291.09	293.57	274.8	232.38	227.85	235.13	42.96
peak33152	chr11	114872490	114874229	.	1740	363.32	383.21	410.95	395.11	361.21	368.99	373.49	374.08	112.89
peak33153	chr11	114875806	114877258	.	1453	161.36	148.96	166.56	175.48	169.37	162.06	159.05	161.08	39.96
peak33159	chr11	115127410	115129129	.	1720	30.19	34.11	21.79	30.9	14.69	13.39	10.72	16.03	96.91
peak33160	chr11	115133445	115134923	.	1479	53.09	52.31	60.71	54.08	27.65	36.16	22.34	26.72	86.92
peak33161	chr11	115153400	115155741	.	2342	744.34	716.39	656.89	673.23	1030.92	961.66	974.84	985.58	691.36
peak33162	chr11	115157475	115158998	.	1524	412.25	419.6	381.37	406.15	438.98	450.02	478.04	455.76	483.55
peak33163	chr11	115161631	115162262	.	632	205.08	221.74	185.24	205.28	223.81	223.67	204.62	209.94	130.88
peak33164	chr11	115162508	115166471	.	3964	1063.94	1033.64	1046.05	1076.07	1506.19	1390.92	1396.58	1434.47	906.16
peak33165	chr11	115166775	115168156	.	1382	293.57	334.31	278.63	310.13	234.18	280.6	258.23	248.88	130.88
peak33166	chr11	115172678	115176245	.	3568	444.52	461.67	393.82	458.02	394.91	397.79	408.34	432.86	456.57
peak33167	chr11	115186534	115188837	.	2304	503.86	510.57	462.32	450.29	589.34	547.8	541.48	571.04	497.54
peak33168	chr11	115198436	115201079	.	2644	242.56	253.58	219.48	215.21	297.26	285.95	271.63	298.5	589.45
peak33169	chr11	115223372	115224282	.	911	78.08	89.83	84.06	80.57	44.07	46.21	55.4	52.68	19.98
peak33170	chr11	115226150	115227557	.	1408	243.6	267.22	230.38	295.78	190.11	200.9	188.53	204.6	137.87
peak33171	chr11	115231023	115232975	.	1953	346.67	372.98	266.18	310.13	286.03	271.22	253.76	287.05	330.69
peak33173	chr11	115248624	115251367	.	2744	275.88	292.24	292.64	306.82	194.43	208.27	239.46	218.34	256.76
peak33174	chr11	115265631	115267908	.	2278	211.33	199	169.67	186.52	144.31	137.28	145.64	156.5	190.82
peak33175	chr11	115275364	115278159	.	2796	586.1	571.97	495.01	508.79	632.55	646.24	647.81	666.47	562.48
peak33176	chr11	115296728	115298858	.	2131	161.36	194.45	166.56	161.13	161.59	148.67	151.01	148.87	122.89
peak33177	chr11	115321490	115322890	.	1401	59.34	43.21	48.26	44.15	46.66	54.91	48.25	38.93	50.95
peak33178	chr11	115330248	115331685	.	1438	66.63	57.99	66.93	61.8	25.06	26.79	33.95	26.72	49.95
peak33179	chr11	115338147	115339409	.	1263	70.79	68.23	68.49	70.63	42.34	39.51	39.32	35.12	144.87
peak33180	chr11	115365403	115368262	.	2860	685	700.47	593.07	664.4	915.12	926.84	884.59	928.32	612.43
peak33181	chr11	115373108	115375532	.	2425	138.46	136.45	126.09	125.82	87.28	84.38	71.48	98.48	150.86
peak33182	chr11	115380843	115383974	.	3132	191.55	216.05	221.04	210.8	183.2	153.36	162.62	139.71	138.87
peak33183	chr11	115403077	115405009	.	1933	429.95	411.64	443.64	420.49	581.56	538.42	542.37	520.65	394.63
peak33184	chr11	115406497	115408978	.	2482	444.52	425.28	418.73	420.49	429.48	448.02	453.02	418.36	505.53
peak33185	chr11	115412127	115414742	.	2616	400.8	346.82	365.81	386.28	428.61	460.74	434.25	420.65	434.6
peak33186	chr11	115416545	115417393	.	849	14.57	19.33	18.68	14.35	12.96	10.05	9.83	9.16	108.9
peak33187	chr11	115418841	115422358	.	3518	538.22	544.68	490.34	533.07	718.96	673.7	593.3	669.52	554.48
peak33188	chr11	115422830	115423539	.	710	90.57	93.24	104.29	80.57	57.03	62.28	67.91	54.97	99.91
peak33189	chr11	115427586	115428537	.	952	53.09	61.4	45.14	51.87	49.26	56.25	45.57	52.68	39.96
peak33190	chr11	115435098	115436329	.	1232	67.67	64.82	73.16	75.05	44.94	45.54	47.36	35.88	26.97
peak33192	chr11	115451518	115453185	.	1668	156.16	156.92	157.22	158.93	136.53	164.07	150.11	147.34	111.9
peak33193	chr11	115461721	115465561	.	3841	1080.6	1109.83	983.78	1105.87	1558.04	1516.82	1452.87	1558.91	136.87
peak33194	chr11	115474941	115479228	.	4288	1110.79	1132.57	1077.18	1103.66	2020.35	2029.8	1946.99	2045.21	888.17
peak33195	chr11	115481329	115482148	.	820	80.16	109.16	99.62	107.05	65.67	68.98	66.12	60.31	101.91
peak33197	chr11	115490528	115492979	.	2452	502.82	529.9	484.11	460.23	680.94	653.61	652.27	697.01	534.5
peak33198	chr11	115507829	115508813	.	985	185.3	183.08	174.34	162.24	109.75	138.62	126.88	131.31	146.86
peak33199	chr11	115510512	115515016	.	4505	1075.39	1010.9	1028.93	1076.07	1234.85	1216.14	1259.87	1302.4	1068.01
peak33200	chr11	115531987	115532691	.	705	30.19	23.88	23.35	17.66	16.42	13.39	19.66	14.51	51.95
peak33201	chr11	115533797	115537446	.	3650	552.79	493.51	496.56	509.89	579.84	614.1	583.47	596.23	587.45
peak33203	chr11	115563290	115565429	.	2140	463.26	449.16	487.22	462.43	532.31	510.3	484.29	546.61	467.56
peak33205	chr11	115598162	115598958	.	797	20.82	19.33	31.13	24.28	15.55	12.05	22.34	12.21	64.94
peak33206	chr11	115602095	115605108	.	3014	403.92	440.07	445.19	390.7	518.48	478.82	503.95	528.29	421.61
peak33207	chr11	115611761	115614021	.	2261	411.21	446.89	420.29	428.22	518.48	486.19	502.16	506.15	407.62
peak33208	chr11	115627039	115628807	.	1769	363.32	346.82	340.9	344.34	388	379.04	371.71	393.16	383.64
peak33209	chr11	115640637	115641927	.	1291	97.86	95.52	105.85	93.81	83.82	87.73	74.16	83.98	152.86
peak33211	chr11	115646107	115648086	.	1980	38.52	30.7	48.26	34.21	26.79	30.81	37.53	27.48	104.9
peak33212	chr11	115663563	115665988	.	2426	200.92	193.31	191.46	192.04	114.93	132.6	139.39	111.46	74.93
peak33213	chr11	115670075	115671397	.	1323	43.72	57.99	34.25	38.63	19.01	21.43	33.95	22.9	62.94
peak33214	chr11	115671978	115675264	.	3287	195.72	208.09	245.95	203.07	124.44	125.23	97.39	124.44	167.84
peak33215	chr11	115684198	115686231	.	2034	56.22	67.09	77.83	56.29	37.16	31.47	28.59	36.64	94.91
peak33216	chr11	115690272	115693658	.	3387	138.46	118.26	149.44	129.13	66.54	65.63	80.42	66.42	161.85
peak33217	chr11	115698526	115700761	.	2236	357.08	382.07	354.91	401.73	388.86	387.74	398.51	398.51	297.72
peak33218	chr11	115706624	115709822	.	3199	542.38	641.34	588.4	538.59	692.17	679.72	637.08	671.81	550.49
peak33219	chr11	115712050	115714899	.	2850	323.76	369.56	319.11	345.45	273.07	302.69	281.46	277.89	382.64
peak33220	chr11	115745830	115748218	.	2389	133.25	102.34	124.53	116.99	91.6	94.42	78.63	87.79	193.82
peak33221	chr11	115764482	115767149	.	2668	589.23	600.4	602.41	601.49	636	662.98	708.56	632.11	642.4
peak33223	chr11	115784045	115785613	.	1569	67.67	65.95	52.93	67.32	36.29	38.84	36.63	33.59	38.96
peak33224	chr11	115812750	115815834	.	3085	486.17	476.45	488.78	514.3	636	641.55	637.08	610.74	533.5
peak33225	chr11	115823402	115825527	.	2126	390.39	384.35	333.12	356.48	479.6	499.58	459.27	524.47	342.68
peak33226	chr11	115828348	115829418	.	1071	37.48	44.35	43.59	43.04	29.38	29.47	29.49	28.25	46.96
peak33228	chr11	115858099	115860127	.	2029	193.63	219.46	227.27	194.24	169.37	190.86	198.36	172.53	183.83
peak33229	chr11	115898043	115900600	.	2558	236.32	230.84	239.72	216.32	176.28	192.87	157.26	156.5	87.92
peak33230	chr11	115932401	115934912	.	2512	529.89	471.91	504.34	475.68	582.43	571.91	579	556.54	485.55
peak33231	chr11	115954212	115956270	.	2059	22.9	17.06	32.69	27.59	13.83	15.4	13.4	12.98	79.93
peak33232	chr11	115973829	115976120	.	2292	204.04	216.05	179.01	182.1	166.78	142.64	159.05	140.47	176.84
peak33233	chr11	116004189	116005815	.	1627	276.92	292.24	258.4	260.46	255.78	253.14	229.64	239.71	276.74
peak33234	chr11	116011709	116013648	.	1940	273.79	255.85	278.63	252.74	260.97	251.8	250.19	267.96	263.75
peak33235	chr11	116022082	116025213	.	3132	307.11	309.3	337.79	345.45	336.15	369.66	331.5	344.3	361.66
peak33236	chr11	116029675	116032003	.	2329	406.01	399.13	404.72	407.25	428.61	442.66	442.29	428.28	484.55
peak33237	chr11	116071050	116072024	.	975	15.62	18.19	23.35	27.59	12.96	19.42	17.87	16.03	37.96
peak33238	chr11	116076040	116078903	.	2864	758.92	768.69	720.71	785.8	1082.76	1028.63	1057.04	1075.66	759.29
peak33239	chr11	116085995	116088266	.	2272	638.16	684.55	593.07	678.75	780.32	739.33	713.03	743.57	683.36
peak33240	chr11	116108711	116111317	.	2607	95.78	80.74	90.28	90.5	57.9	44.2	58.08	44.28	136.87
peak33241	chr11	116129537	116131739	.	2203	463.26	441.2	491.89	458.02	572.06	570.57	535.22	560.35	456.57
peak33242	chr11	116136029	116139521	.	3493	282.12	247.89	252.17	252.74	286.89	264.52	271.63	266.43	349.67
peak33243	chr11	116167077	116169084	.	2008	465.34	440.07	442.08	467.95	510.7	494.22	509.31	484.77	446.58
peak33244	chr11	116197851	116200201	.	2351	621.5	585.62	593.07	580.52	767.35	757.41	738.05	690.13	558.48
peak33245	chr11	116218114	116219413	.	1300	42.68	47.76	46.7	51.87	35.43	22.77	27.7	25.96	46.96
peak33246	chr11	116237593	116239200	.	1608	129.09	127.36	124.53	120.3	89.87	93.09	108.12	97.72	112.89
peak33247	chr11	116253113	116256510	.	3398	199.88	199	186.79	201.97	168.51	165.41	154.58	166.43	627.42
peak33248	chr11	116259144	116260187	.	1044	60.38	71.64	57.59	49.66	46.66	40.18	49.14	45.04	85.92
peak33249	chr11	116264858	116266541	.	1684	67.67	52.31	56.04	76.15	43.21	39.51	34.85	35.12	175.84
peak33250	chr11	116272634	116275262	.	2629	553.83	519.66	501.23	543	637.73	594.01	533.43	597	502.53
peak33251	chr11	116280600	116282889	.	2290	96.82	129.63	108.96	115.88	56.17	63.62	52.72	61.07	101.91
peak33252	chr11	116305533	116307328	.	1796	284.2	286.55	300.43	261.57	324.92	276.58	290.4	282.47	311.71
peak33253	chr11	116318685	116320312	.	1628	88.49	62.54	90.28	76.15	65.67	72.99	72.38	75.58	65.94
peak33254	chr11	116334280	116336468	.	2189	175.94	212.64	165	172.17	215.17	223.67	199.26	229.03	163.85
peak33255	chr11	116337377	116338193	.	817	55.18	56.86	62.26	57.39	33.7	44.2	38.42	48.1	19.98
peak33256	chr11	116358766	116359882	.	1117	55.18	53.44	51.37	61.8	50.98	52.9	61.65	45.04	3
peak33257	chr11	116361220	116362643	.	1424	114.51	117.12	101.18	94.91	81.23	79.02	70.59	71	17.98
peak33258	chr11	116367894	116370614	.	2721	138.46	152.37	129.2	152.3	130.48	128.58	100.97	129.78	43.96
peak33259	chr11	116376600	116378143	.	1544	168.65	186.49	177.45	164.45	151.22	137.28	123.31	148.87	201.81
peak33260	chr11	116379055	116380221	.	1167	79.12	77.32	60.71	78.36	39.75	44.87	53.61	34.35	117.89
peak33261	chr11	116387323	116390146	.	2824	204.04	216.05	183.68	225.15	268.75	254.48	254.65	260.33	193.82
peak33262	chr11	116394020	116395470	.	1451	134.29	146.69	107.41	116.99	122.71	122.55	108.12	137.42	113.89
peak33263	chr11	116397230	116398903	.	1674	71.83	70.5	68.49	62.91	35.43	43.53	33.06	39.7	281.74
peak33265	chr11	116405686	116407244	.	1559	106.19	94.38	101.18	104.85	78.64	75	79.52	80.16	272.75
peak33266	chr11	116411009	116413910	.	2902	279	268.36	289.53	294.68	248.01	252.47	257.34	258.04	326.7
peak33267	chr11	116418042	116419360	.	1319	100.98	126.22	110.52	131.34	89.87	95.76	94.71	83.98	62.94
peak33268	chr11	116423485	116424893	.	1409	181.14	195.58	196.13	225.15	197.89	210.95	179.6	183.22	176.84
peak33269	chr11	116433359	116437397	.	4039	572.57	591.3	555.71	579.42	626.5	636.19	595.98	607.68	665.38
peak33270	chr11	116439025	116440568	.	1544	170.73	131.91	152.55	152.3	117.52	108.49	122.41	107.64	308.71
peak33271	chr11	116488711	116491389	.	2679	587.15	587.89	521.47	557.35	699.09	701.82	724.65	708.46	566.47
peak33272	chr11	116531625	116534867	.	3243	403.92	395.72	424.96	439.26	357.75	378.37	354.73	332.09	470.56
peak33274	chr11	116579593	116582027	.	2435	168.65	154.65	175.9	173.27	145.18	133.27	137.6	140.47	179.83
peak33275	chr11	116615288	116619318	.	4031	348.75	362.74	322.22	362	297.26	293.32	301.12	309.19	841.22
peak33276	chr11	116622793	116624769	.	1977	295.66	300.2	286.42	289.16	405.28	373.68	404.77	362.63	335.69
peak33277	chr11	116670834	116673249	.	2416	440.36	427.56	384.49	424.91	542.68	563.87	568.28	531.34	436.59
peak33278	chr11	116687230	116689108	.	1879	129.09	117.12	133.87	119.2	89.87	90.41	83.1	84.74	92.91
peak33280	chr11	116782203	116783722	.	1520	121.8	133.04	133.87	129.13	123.57	132.6	133.14	145.81	150.86
peak33281	chr11	116810701	116812143	.	1443	134.29	118.26	113.63	151.2	124.44	111.17	103.65	113.75	112.89
peak33282	chr11	116826553	116829725	.	3173	166.57	135.32	174.34	153.41	95.92	108.49	104.54	112.22	153.86
peak33283	chr11	116841394	116844938	.	3545	827.63	843.74	764.3	800.15	1034.37	1015.9	1028.45	1027.57	870.19
peak33284	chr11	116850751	116852475	.	1725	341.46	335.45	340.9	349.86	415.65	429.26	383.32	416.83	322.7
peak33285	chr11	116852740	116854771	.	2032	415.37	435.52	440.52	448.09	521.94	529.05	530.75	540.5	429.6
peak33286	chr11	116884806	116886533	.	1728	196.76	224.01	168.11	205.28	198.75	197.56	202.83	186.28	158.85
peak33287	chr11	116904781	116906563	.	1783	111.39	94.38	90.28	84.98	67.4	72.33	63.44	70.23	76.93
peak33288	chr11	116910179	116911582	.	1404	55.18	54.58	60.71	67.32	23.33	31.47	24.13	19.85	35.97
peak33289	chr11	116918240	116920289	.	2050	100.98	88.7	79.39	83.88	52.71	55.58	49.14	51.15	56.95
peak33290	chr11	116949444	116951403	.	1960	83.28	84.15	74.72	82.77	63.95	60.27	68.8	70.23	111.9
peak33293	chr11	117016787	117019135	.	2349	110.35	104.62	80.94	91.6	70	59.6	76.84	67.18	147.86
peak33294	chr11	117027309	117028415	.	1107	33.31	18.19	26.46	32.01	15.55	12.72	12.51	20.61	100.91
peak33295	chr11	117029659	117031463	.	1805	43.72	22.74	45.14	25.38	18.15	14.73	15.19	13.74	85.92
peak33296	chr11	117075935	117078574	.	2640	360.2	343.41	350.24	376.35	425.16	413.19	440.51	448.13	368.66
peak33297	chr11	117091588	117093903	.	2316	68.71	51.17	66.93	40.84	24.2	35.49	42	31.3	74.93
peak33298	chr11	117114102	117117272	.	3171	599.64	560.6	624.2	646.74	795.87	802.94	758.6	798.54	760.29
peak33300	chr11	117135637	117136880	.	1244	23.94	26.15	23.35	18.76	6.91	8.04	11.62	5.34	64.94
peak33301	chr11	117174168	117175707	.	1540	176.98	216.05	205.47	200.87	201.34	212.29	235	196.2	173.84
peak33302	chr11	117198721	117201050	.	2330	195.72	201.27	161.89	165.55	167.64	162.06	176.92	193.91	100.91
peak33303	chr11	117239316	117240920	.	1605	37.48	37.53	32.69	35.32	28.52	11.38	9.83	20.61	168.84
peak33304	chr11	117242170	117243704	.	1535	119.72	152.37	152.55	153.41	101.97	95.76	95.61	101.54	150.86
peak33305	chr11	117245057	117246883	.	1827	257.14	249.03	224.15	261.57	209.12	222.33	202.83	223.68	175.84
peak33306	chr11	117265135	117268947	.	3813	616.29	615.18	633.54	620.26	769.95	772.14	778.26	752.74	690.36
peak33307	chr11	117291980	117293405	.	1426	146.79	144.41	166.56	135.75	125.3	132.6	117.95	112.22	210.8
peak33308	chr11	117294882	117296394	.	1513	145.75	143.28	126.09	154.51	106.29	135.94	109.9	117.57	114.89
peak33309	chr11	117299395	117302682	.	3288	286.29	295.65	242.83	279.23	241.96	263.18	251.97	233.61	254.76
peak33310	chr11	117306317	117310080	.	3764	553.83	565.15	547.93	597.08	554.78	542.44	461.95	531.34	654.39
peak33311	chr11	117310940	117312387	.	1448	192.59	166.02	163.45	176.59	148.63	135.28	144.75	148.1	277.74
peak33312	chr11	117316909	117320847	.	3939	722.48	748.23	683.36	695.3	731.06	680.39	684.44	726.02	621.42
peak33313	chr11	117321474	117322199	.	726	37.48	38.66	51.37	50.77	25.92	30.81	25.91	30.54	124.88
peak33314	chr11	117325204	117328317	.	3114	686.04	697.06	566.61	680.96	787.23	828.39	837.23	821.44	574.47
peak33315	chr11	117331072	117335704	.	4633	1414.77	1389.56	1226.62	1421.51	2108.49	2082.7	2078.34	2092.54	1352.74
peak33316	chr11	117337460	117339281	.	1822	354.99	378.66	331.56	350.96	279.98	309.39	285.03	317.58	393.63
peak33317	chr11	117347657	117351186	.	3530	421.62	444.61	437.41	443.67	359.48	390.42	353.84	358.05	461.57
peak33320	chr11	117393912	117396017	.	2106	95.78	105.75	104.29	89.4	57.03	55.58	49.14	64.89	71.93
peak33322	chr11	117413526	117416245	.	2720	240.48	245.62	235.05	242.8	139.99	154.7	147.43	152.68	204.81
peak33324	chr11	117481793	117483798	.	2006	198.84	194.45	213.26	224.04	169.37	175.46	143.86	155.74	100.91
peak33326	chr11	117598252	117600368	.	2117	506.99	478.73	454.53	496.65	677.48	699.14	671.04	671.05	487.55
peak33327	chr11	117610168	117612170	.	2003	233.19	274.05	247.5	272.6	234.18	234.39	189.43	214.52	406.62
peak33328	chr11	117617247	117619140	.	1894	108.27	131.91	146.32	116.99	46.66	48.89	42.89	55.73	66.94
peak33329	chr11	117638133	117640485	.	2353	516.36	526.49	481	522.03	682.67	685.75	618.32	678.68	419.61
peak33330	chr11	117653099	117654933	.	1835	556.96	494.65	482.55	494.44	595.39	638.87	573.64	574.09	518.52
peak33331	chr11	117655310	117657544	.	2235	497.62	450.3	431.18	486.71	557.37	539.09	541.48	569.51	429.6
peak33332	chr11	117666181	117667169	.	989	64.54	57.99	74.72	62.91	31.11	25.45	39.32	26.72	43.96
peak33333	chr11	117669303	117670321	.	1019	111.39	127.36	121.42	111.47	55.3	72.99	75.06	74.82	50.95
peak33334	chr11	117670946	117673430	.	2485	284.2	293.38	291.09	302.4	192.7	231.71	214.45	225.97	173.84
peak33336	chr11	117685014	117688256	.	3243	343.54	375.25	351.8	366.41	254.06	271.22	235	283.99	267.75
peak33337	chr11	117696306	117698248	.	1943	57.26	60.27	73.16	72.84	29.38	42.19	33.95	38.93	30.97
peak33339	chr11	117718518	117719655	.	1138	93.69	96.66	115.19	79.46	93.33	73.66	71.48	71.76	36.97
peak33340	chr11	117724175	117725600	.	1426	93.69	87.56	124.53	93.81	63.08	57.59	59.87	61.07	13.99
peak33341	chr11	117772072	117773298	.	1227	20.82	12.51	29.58	17.66	15.55	7.37	8.94	8.4	38.96
peak33342	chr11	117777022	117777823	.	802	163.44	160.33	169.67	158.93	169.37	183.49	141.18	152.68	149.86
peak33343	chr11	117778756	117783739	.	4984	1337.73	1259.93	1197.04	1356.4	1990.11	1894.52	1881.76	2000.93	1344.75
peak33344	chr11	117792979	117794806	.	1828	77.04	55.72	65.38	64.01	31.97	51.57	49.14	42.75	27.97
peak33345	chr11	117808995	117811469	.	2475	422.66	477.59	477.88	465.74	660.2	581.28	633.51	646.62	483.55
peak33346	chr11	117824495	117825143	.	649	42.68	54.58	49.81	49.66	37.16	41.52	42.89	34.35	56.95
peak33347	chr11	117825504	117828971	.	3468	265.46	245.62	269.3	282.54	222.08	247.78	200.15	210.7	729.32
peak33348	chr11	117831778	117833385	.	1608	296.7	283.14	283.3	288.05	331.83	350.24	336.86	338.96	341.68
peak33349	chr11	117847829	117849708	.	1880	423.7	424.15	429.63	421.6	545.27	531.06	516.46	516.07	483.55
peak33350	chr11	117859816	117861638	.	1823	82.24	87.56	77.83	100.43	64.81	60.27	50.93	53.44	51.95
peak33351	chr11	117870804	117873897	.	3094	837	800.53	801.66	782.49	1104.37	1130.42	1045.42	1043.6	699.35
peak33352	chr11	117877949	117879523	.	1575	205.08	217.19	242.83	207.49	220.35	241.75	246.61	254.22	60.94
peak33353	chr11	117881484	117883309	.	1826	164.48	156.92	166.56	192.04	133.94	131.26	112.58	117.57	64.94
peak33354	chr11	117891088	117892766	.	1679	225.91	219.46	210.14	219.63	171.96	196.22	173.34	177.88	101.91
peak33355	chr11	117909073	117910141	.	1069	48.93	84.15	66.93	52.98	35.43	30.14	35.74	39.7	17.98
peak33358	chr11	117930292	117932276	.	1985	107.23	154.65	127.64	114.78	106.29	95.76	104.54	108.41	47.96
peak33359	chr11	117951702	117954984	.	3283	561.12	574.25	496.56	597.08	557.37	565.21	549.52	616.08	284.73
peak33360	chr11	117959709	117960479	.	771	81.2	90.97	94.95	98.23	74.32	77.01	86.67	83.98	21.98
peak33361	chr11	117963104	117967289	.	4186	606.93	650.43	622.65	658.88	720.69	705.17	711.25	675.63	395.63
peak33362	chr11	117967646	117970724	.	3079	516.36	507.16	530.81	567.28	921.17	838.44	832.76	849.69	644.4
peak33363	chr11	117986077	117988240	.	2164	293.57	299.06	328.45	320.06	344.79	308.05	335.97	329.04	309.71
peak33364	chr11	117989660	117990555	.	896	71.83	88.7	77.83	57.39	49.26	52.9	48.25	44.28	93.91
peak33365	chr11	117991456	117992246	.	791	71.83	71.64	49.81	64.01	30.24	39.51	29.49	39.7	92.91
peak33366	chr11	117993547	117996101	.	2555	120.76	131.91	130.76	109.26	57.9	77.01	83.99	75.58	280.74
peak33367	chr11	118013767	118016922	.	3156	912.99	940.4	963.55	960.18	1230.53	1183.99	1291.14	1274.15	340.68
peak33370	chr11	118085011	118086627	.	1617	79.12	80.74	98.07	64.01	60.49	50.9	64.33	59.55	21.98
peak33371	chr11	118113237	118115319	.	2083	102.02	101.2	84.06	109.26	64.81	67.64	59.87	76.34	25.98
peak33372	chr11	118129503	118131005	.	1503	203	214.92	238.16	211.9	215.17	233.05	211.77	233.61	133.88
peak33373	chr11	118142829	118144448	.	1620	135.34	134.18	135.43	136.85	96.78	95.76	116.16	88.56	135.87
peak33374	chr11	118145334	118147172	.	1839	263.38	255.85	225.71	294.68	277.39	256.49	275.21	257.27	331.69
peak33375	chr11	118147754	118148584	.	831	54.13	59.13	63.82	49.66	58.76	55.58	47.36	51.91	41.96
peak33376	chr11	118196298	118197436	.	1139	100.98	85.28	68.49	83.88	38.89	46.88	47.36	37.41	44.96
peak33377	chr11	118199633	118201201	.	1569	123.88	141	107.41	150.1	100.24	88.4	90.25	110.7	165.85
peak33378	chr11	118202497	118204055	.	1559	233.19	208.09	227.27	219.63	176.28	190.86	180.49	170.24	122.89
peak33379	chr11	118209272	118213128	.	3857	597.56	561.74	603.97	545.21	441.57	465.43	443.19	406.14	302.72
peak33380	chr11	118215652	118217099	.	1448	78.08	87.56	101.18	89.4	46.66	48.22	50.04	43.52	140.87
peak33381	chr11	118225047	118228465	.	3419	802.64	797.12	796.99	863.06	864.14	918.13	876.55	880.23	753.3
peak33382	chr11	118230265	118231203	.	939	308.15	261.54	264.63	274.81	250.6	244.43	275.21	247.35	97.91
peak33383	chr11	118231795	118233210	.	1416	466.39	477.59	493.45	486.71	503.79	537.75	475.35	484.01	371.65
peak33384	chr11	118236284	118237985	.	1702	579.86	591.3	554.16	575.01	572.92	550.48	542.37	561.88	473.56
peak33385	chr11	118239187	118240231	.	1045	322.72	316.12	312.88	315.65	276.52	309.39	275.21	279.41	107.9
peak33386	chr11	118242596	118243126	.	531	173.85	176.25	177.45	194.24	171.1	167.42	173.34	171.01	114.89
peak33387	chr11	118243649	118248107	.	4459	1412.69	1340.67	1326.24	1378.47	1830.24	1815.5	1887.12	1871.15	1264.82
peak33388	chr11	118248460	118249299	.	840	238.4	237.66	283.3	257.15	318.87	283.94	313.63	294.68	266.75
peak33389	chr11	118259552	118261466	.	1915	372.69	399.13	372.03	397.32	389.73	389.08	404.77	373.31	303.72
peak33390	chr11	118265278	118267217	.	1940	181.14	212.64	213.26	219.63	154.68	147.33	133.14	157.27	192.82
peak33391	chr11	118288587	118291181	.	2595	641.28	716.39	650.67	648.95	782.91	811.65	788.98	768	690.36
peak33394	chr11	118336227	118338465	.	2239	141.58	196.72	166.56	172.17	111.47	137.95	119.73	125.96	144.87
peak33395	chr11	118341980	118344043	.	2064	64.54	59.13	73.16	58.49	57.9	46.21	49.14	51.15	64.94
peak33396	chr11	118348090	118349945	.	1856	136.38	139.87	193.02	154.51	120.98	124.56	117.05	96.95	41.96
peak33397	chr11	118353574	118356001	.	2428	313.35	368.43	325.33	331.1	346.52	348.23	342.22	344.3	147.86
peak33400	chr11	118399593	118403209	.	3617	945.26	918.79	921.52	952.46	1113.01	1207.43	1132.1	1168.8	957.11
peak33401	chr11	118417770	118419946	.	2177	463.26	441.2	424.96	445.88	576.38	564.54	570.96	548.9	468.56
peak33402	chr11	118427436	118429060	.	1625	89.53	115.99	74.72	121.4	48.39	77.01	57.19	57.26	37.96
