peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27ac_Rep1_S1	Naive_P14_Day30_H3K27ac_Rep2_S2	Naive_P14_Day30_H3K27ac_Rep3_S3	Naive_P14_Day30_H3K27ac_Rep4_S4	Naive_P14_Day32_H3K27ac_Rep1_S9	Naive_P14_Day32_H3K27ac_Rep2_S10	Naive_P14_Day32_H3K27ac_Rep3_S11	Naive_P14_Day32_H3K27ac_Rep4_S12
peak16691	chr8	12755249	12757915	.	2667	43.77	43.77	45.87	34.92	59.75	37.36	61.93	50.14
peak16692	chr8	12770245	12771716	.	1472	20.26	25.53	13.11	20.3	25.28	20.28	25.5	16.71
peak16693	chr8	12872556	12874146	.	1591	25.13	17.02	15.56	14.62	13.79	14.94	14.57	17.7
peak16694	chr8	12976352	12978168	.	1817	8.92	4.86	7.37	7.31	1.15	7.47	12.14	7.87
peak16695	chr8	13103950	13106731	.	2782	171.01	144.67	167.09	171.37	167.77	188.93	193.07	156.33
peak16696	chr8	13159397	13160574	.	1178	39.71	36.47	28.67	27.61	28.73	28.82	34	22.61
peak16698	chr8	13213044	13214559	.	1516	24.31	19.45	27.03	32.49	20.68	22.42	20.64	33.43
peak16699	chr8	13251003	13252435	.	1433	8.1	4.86	12.29	6.5	12.64	10.67	7.29	10.82
peak16701	chr8	13286951	13289102	.	2152	101.31	120.36	115.49	91.78	93.08	96.07	129.93	88.49
peak16702	chr8	13315754	13317137	.	1384	3.24	8.51	5.73	8.93	3.45	7.47	6.07	3.93
peak16704	chr8	13427785	13429662	.	1878	75.38	60.79	54.88	47.92	59.75	57.64	53.43	52.11
peak16705	chr8	13554698	13555918	.	1221	12.16	8.51	14.74	15.43	10.34	11.74	17	15.73
peak16707	chr8	13593411	13596280	.	2870	130.49	179.93	146.62	165.68	137.89	153.71	133.57	137.65
peak16708	chr8	13598516	13602820	.	4305	207.48	215.19	207.23	206.29	206.83	212.41	179.72	228.1
peak16709	chr8	13608622	13610815	.	2194	63.22	44.98	58.97	61.73	44.81	54.44	41.29	54.08
peak16710	chr8	13618849	13621955	.	3107	151.56	126.44	158.08	148.63	194.19	182.53	212.5	211.39
peak16711	chr8	13623738	13625823	.	2086	105.36	89.97	92.56	95.84	129.85	132.36	137.22	115.03
peak16712	chr8	13630536	13632799	.	2264	84.29	77.81	72.9	60.91	78.14	91.8	68	91.44
peak16713	chr8	13636248	13637653	.	1406	24.31	18.24	13.92	12.99	19.53	10.67	15.79	14.75
peak16714	chr8	13642795	13644195	.	1401	22.69	23.1	22.12	23.55	31.03	24.55	18.21	36.38
peak16715	chr8	13648115	13652042	.	3928	122.38	105.77	108.12	103.96	124.1	120.62	104.43	110.12
peak16716	chr8	13659847	13661239	.	1393	58.35	55.92	70.44	47.92	57.45	69.38	61.93	54.08
peak16717	chr8	13662721	13663853	.	1133	28.37	19.45	27.03	31.67	22.98	24.55	24.29	25.56
peak16718	chr8	13674187	13678904	.	4718	423.07	404.84	376.78	371.16	395.28	417.35	397.07	336.25
peak16719	chr8	13685682	13687667	.	1986	158.04	175.07	149.89	147.82	155.13	172.92	145.72	155.34
peak16720	chr8	13687934	13690145	.	2212	85.1	71.73	64.71	69.85	90.78	101.4	106.86	93.4
peak16721	chr8	13703149	13704738	.	1590	26.75	20.67	23.75	24.37	20.68	24.55	27.93	30.48
peak16724	chr8	13756947	13758981	.	2035	54.3	68.08	66.35	67.41	71.24	75.79	58.29	68.82
peak16725	chr8	13784917	13786582	.	1666	55.92	59.57	58.15	52.79	57.45	53.37	65.57	63.91
peak16726	chr8	13868843	13871469	.	2627	77.81	87.53	78.63	73.91	81.58	77.92	86.21	72.76
peak16728	chr8	13906919	13908894	.	1976	46.2	34.04	33.58	38.17	28.73	35.22	44.93	29.5
peak16729	chr8	13966401	13968087	.	1687	80.24	87.53	103.2	88.53	81.58	90.73	70.43	86.52
peak16730	chr8	13972039	13972556	.	518	60.79	53.49	53.24	55.23	45.96	53.37	42.5	38.34
peak16731	chr8	13973154	13975303	.	2150	172.63	193.3	155.63	168.93	147.08	168.65	157.86	172.06
peak16732	chr8	13976577	13977043	.	467	46.2	44.98	47.51	46.29	35.62	37.36	43.71	41.29
peak16733	chr8	13978695	13980807	.	2113	235.85	237.07	247.36	221.72	222.92	219.88	197.93	259.56
peak16734	chr8	13985905	13988433	.	2529	488.72	459.55	408.72	472.68	489.51	492.07	446.86	461.12
peak16735	chr8	13991823	13993926	.	2104	324.19	274.76	311.25	322.43	295.31	283.93	259.86	264.48
peak16736	chr8	14009219	14010245	.	1027	61.6	66.87	55.7	65.79	67.8	64.04	59.5	74.72
peak16737	chr8	14011216	14014834	.	3619	290.96	289.35	249.82	296.44	294.16	285	302.36	337.24
peak16738	chr8	14088268	14090977	.	2710	67.27	69.3	80.27	74.72	72.39	65.11	65.57	65.87
peak16739	chr8	14887720	14890288	.	2569	145.08	160.48	143.34	121.01	126.4	145.17	146.93	124.87
peak16740	chr8	14937593	14939058	.	1466	25.94	38.9	23.75	19.49	21.83	11.74	23.07	30.48
peak16742	chr8	14961080	14962344	.	1265	46.2	29.18	26.21	33.3	28.73	19.21	26.71	35.39
peak16743	chr8	14970449	14971527	.	1079	26.75	15.8	15.56	21.12	11.49	13.88	17	20.65
peak16744	chr8	14984944	14986921	.	1978	110.23	128.87	104.84	121.83	113.76	123.82	87.43	136.66
peak16745	chr8	14994045	14998774	.	4730	418.21	435.24	360.4	391.47	373.45	331.96	338.79	413.92
peak16746	chr8	15010050	15013114	.	3065	183.98	195.74	221.97	200.61	194.19	226.29	208.86	184.84
peak16747	chr8	15017195	15021088	.	3894	517.09	492.38	470.15	496.24	481.46	527.3	493	505.36
peak16748	chr8	15026014	15027810	.	1797	181.55	165.34	178.56	192.49	182.7	168.65	165.14	180.91
peak16749	chr8	15033580	15035324	.	1745	50.25	42.55	59.79	49.54	50.56	38.43	49.79	48.18
peak16750	chr8	15055327	15056590	.	1264	4.86	1.22	3.28	6.5	2.3	3.2	7.29	7.87
peak16751	chr8	15119139	15121227	.	2089	2.43	3.65	5.73	1.62	4.6	9.61	7.29	6.88
peak16752	chr8	18594472	18596618	.	2147	104.55	93.61	99.93	78.78	110.31	91.8	106.86	86.52
peak16753	chr8	18611319	18612537	.	1219	32.42	23.1	35.22	43.05	32.17	43.76	35.21	39.33
peak16754	chr8	18618251	18620189	.	1939	19.45	20.67	24.57	24.37	28.73	12.81	19.43	23.6
peak16755	chr8	18624993	18627015	.	2023	31.61	29.18	29.49	34.11	40.22	32.02	21.86	30.48
peak16756	chr8	18738174	18740920	.	2747	62.41	68.08	66.35	56.85	71.24	54.44	63.14	60.96
peak16759	chr8	18767355	18768662	.	1308	25.13	27.96	27.03	23.55	24.13	29.89	18.21	24.58
peak16760	chr8	18800008	18801736	.	1729	34.85	15.8	26.21	31.67	26.43	34.16	32.79	30.48
peak16761	chr8	18845447	18848390	.	2944	192.09	207.89	181.84	196.55	227.52	211.35	216.14	192.71
peak16762	chr8	18852798	18853875	.	1078	21.07	19.45	23.75	19.49	19.53	14.94	34	21.63
peak16763	chr8	18857614	18859107	.	1494	44.58	48.63	36.86	36.55	56.3	33.09	58.29	45.23
peak16764	chr8	18897811	18899775	.	1965	109.42	119.14	123.68	97.46	104.57	106.74	93.5	103.24
peak16765	chr8	18949571	18952021	.	2451	36.47	42.55	40.95	28.43	33.32	32.02	42.5	38.34
peak16767	chr8	19160791	19162752	.	1962	42.96	62	49.96	50.35	49.41	54.44	51	46.21
peak16768	chr8	19679540	19683672	.	4133	54.3	44.98	67.16	64.97	75.84	62.98	72.86	50.14
peak16770	chr8	19709051	19711679	.	2629	17.83	29.18	14.74	17.06	36.77	11.74	36.43	12.78
peak16772	chr8	19784081	19787584	.	3504	316.09	303.94	318.62	319.18	372.3	328.76	353.36	340.18
peak16773	chr8	19792100	19793824	.	1725	20.26	23.1	22.93	20.3	31.03	18.15	30.36	25.56
peak16774	chr8	19798470	19800100	.	1631	14.59	18.24	19.66	17.06	26.43	10.67	19.43	14.75
peak16775	chr8	19800309	19803128	.	2820	64.84	72.94	67.98	73.1	76.99	76.85	74.07	63.91
peak16776	chr8	19979592	19982772	.	3181	61.6	81.46	80.27	88.53	94.22	88.59	87.43	77.67
peak16777	chr8	20121732	20125553	.	3822	315.28	339.19	346.47	358.98	380.35	372.52	324.22	351
peak16779	chr8	20294738	20298069	.	3332	261.79	252.88	280.94	281.01	316	293.53	274.43	305.77
peak16780	chr8	20394944	20395519	.	576	10.54	13.37	10.65	8.93	13.79	11.74	27.93	18.68
peak16781	chr8	20410760	20411402	.	643	21.88	19.45	19.66	22.74	19.53	25.62	25.5	29.5
peak16782	chr8	20421927	20425214	.	3288	300.69	300.29	313.71	298.07	415.97	322.35	318.15	376.56
peak16783	chr8	20549623	20553637	.	4015	294.21	252.88	284.22	289.95	326.34	299.94	307.22	328.39
peak16784	chr8	20582699	20583325	.	627	9.73	19.45	7.37	12.99	28.73	14.94	17	23.6
peak16785	chr8	22059255	22061622	.	2368	47.82	59.57	58.15	61.73	48.26	58.71	71.64	65.87
peak16786	chr8	22123748	22125377	.	1630	24.31	31.61	30.31	23.55	25.28	14.94	23.07	14.75
peak16787	chr8	22164908	22167528	.	2621	94.02	114.28	95.01	100.71	93.08	102.47	88.64	75.71
peak16788	chr8	22184384	22186417	.	2034	28.37	36.47	29.49	23.55	22.98	36.29	20.64	20.65
peak16789	chr8	22192671	22194283	.	1613	123.19	117.93	99.93	131.57	120.65	139.83	122.64	115.03
peak16790	chr8	22205417	22206669	.	1253	11.35	10.94	18.02	7.31	12.64	7.47	9.71	6.88
peak16791	chr8	22226488	22229565	.	3078	42.96	53.49	50.78	68.22	63.2	54.44	42.5	57.03
peak16792	chr8	22397543	22399481	.	1939	65.65	82.67	63.89	79.59	63.2	72.58	69.21	71.77
peak16793	chr8	22405151	22406529	.	1379	28.37	30.39	32.76	30.05	21.83	29.89	34	34.41
peak16794	chr8	22410689	22412617	.	1929	104.55	93.61	116.31	99.09	108.01	115.28	111.72	129.78
peak16795	chr8	22475417	22478544	.	3128	175.88	227.34	164.64	159.19	205.69	193.2	205.22	204.5
peak16796	chr8	22487268	22488820	.	1553	37.28	30.39	32.76	32.49	36.77	25.62	30.36	30.48
peak16797	chr8	22535748	22537496	.	1749	55.11	62	54.06	51.17	58.6	50.17	69.21	51.13
peak16799	chr8	22592358	22594851	.	2494	162.91	136.16	155.63	150.25	125.25	118.48	132.36	130.76
peak16801	chr8	22652207	22654303	.	2097	80.24	86.32	76.17	75.53	63.2	68.31	66.79	66.86
peak16802	chr8	22701052	22702558	.	1507	92.4	117.93	96.65	88.53	79.29	89.66	94.71	115.03
peak16803	chr8	22705621	22707374	.	1754	179.12	162.91	157.26	139.69	166.62	184.66	167.57	164.19
peak16806	chr8	22717861	22718806	.	946	26.75	15.8	10.65	17.06	26.43	16.01	20.64	22.61
peak16807	chr8	22723324	22724894	.	1571	93.21	66.87	92.56	80.41	97.67	108.87	99.57	111.1
peak16808	chr8	22733025	22735049	.	2025	42.15	53.49	38.5	47.92	37.92	49.1	36.43	50.14
peak16809	chr8	22756796	22758222	.	1427	29.18	25.53	26.21	25.18	24.13	34.16	36.43	30.48
peak16810	chr8	22779586	22781794	.	2209	223.69	184.79	204.77	198.98	253.95	227.36	196.72	226.13
peak16811	chr8	22785447	22788545	.	3099	319.33	345.27	315.35	357.36	345.87	313.82	299.93	375.58
peak16812	chr8	22805392	22809916	.	4525	430.37	401.2	407.08	405.27	373.45	389.6	361.86	332.32
peak16813	chr8	22813572	22815171	.	1600	162.91	160.48	157.26	147	125.25	144.1	144.5	186.81
peak16814	chr8	22838109	22839661	.	1553	158.04	160.48	151.53	143.75	180.41	154.77	173.64	153.38
peak16815	chr8	22847272	22848700	.	1429	24.31	25.53	22.12	27.61	39.07	34.16	26.71	31.46
peak16816	chr8	22858217	22861220	.	3004	145.08	139.81	150.71	128.32	109.16	116.35	122.64	97.34
peak16817	chr8	22865569	22866693	.	1125	31.61	43.77	34.4	36.55	33.32	36.29	34	35.39
peak16818	chr8	22873018	22875403	.	2386	55.11	57.14	63.07	64.16	67.8	61.91	58.29	57.03
peak16819	chr8	22882264	22883244	.	981	22.69	20.67	27.03	31.67	19.53	25.62	21.86	19.66
peak16820	chr8	23027687	23029275	.	1589	34.85	25.53	31.94	28.43	34.47	26.68	32.79	31.46
peak16821	chr8	23192875	23194565	.	1691	38.09	30.39	19.66	25.99	37.92	33.09	31.57	41.29
peak16822	chr8	23196123	23197110	.	988	28.37	36.47	22.93	14.62	29.88	25.62	17	21.63
peak16823	chr8	23206467	23209351	.	2885	72.94	91.18	84.37	79.59	91.93	88.59	70.43	71.77
peak16824	chr8	23236909	23238691	.	1783	56.73	53.49	54.06	60.91	45.96	55.5	52.21	51.13
peak16825	chr8	23254131	23257920	.	3790	109.42	91.18	95.83	110.46	99.97	95	106.86	94.39
peak16826	chr8	23819428	23821009	.	1582	42.15	32.83	33.58	41.42	37.92	24.55	35.21	34.41
peak16827	chr8	23885564	23888548	.	2985	226.13	216.4	221.97	239.59	248.2	265.78	231.93	253.66
peak16828	chr8	24595342	24597342	.	2001	0	4.86	3.28	0	3.45	2.13	2.43	0.98
peak16829	chr8	25015865	25018338	.	2474	119.95	119.14	123.68	104.77	101.12	104.61	139.64	104.22
peak16830	chr8	25059221	25061074	.	1854	15.4	17.02	17.2	14.62	17.24	17.08	14.57	26.55
peak16831	chr8	25067213	25069516	.	2304	83.48	63.22	85.18	79.59	98.82	121.68	102	111.1
peak16832	chr8	25088415	25091135	.	2721	76.19	70.51	62.25	67.41	93.08	72.58	83.79	72.76
peak16833	chr8	25097793	25104540	.	6748	579.5	525.2	582.37	549.84	594.07	603.08	603.5	611.55
peak16834	chr8	25131719	25133237	.	1519	37.28	29.18	35.22	30.05	24.13	40.56	24.29	25.56
peak16835	chr8	25171152	25174009	.	2858	10.54	15.8	13.11	19.49	21.83	13.88	21.86	11.8
peak16837	chr8	25195118	25196024	.	907	18.64	20.67	22.93	16.24	20.68	7.47	8.5	14.75
peak16838	chr8	25199448	25202547	.	3100	82.67	119.14	95.01	92.59	95.37	103.54	99.57	92.42
peak16839	chr8	25224153	25226575	.	2423	12.97	9.73	21.3	18.68	19.53	10.67	21.86	21.63
peak16840	chr8	25262617	25263822	.	1206	14.59	24.31	16.38	18.68	20.68	18.15	15.79	14.75
peak16841	chr8	25273518	25276627	.	3110	494.4	515.48	488.99	498.67	599.82	694.88	618.08	659.72
peak16843	chr8	25362733	25365453	.	2721	31.61	44.98	36.04	25.18	25.28	28.82	24.29	32.45
peak16844	chr8	25447228	25449245	.	2018	24.31	18.24	16.38	13.81	21.83	18.15	34	28.51
peak16845	chr8	25543244	25544587	.	1344	41.33	40.12	32.76	37.36	45.96	34.16	26.71	46.21
peak16846	chr8	25575891	25577065	.	1175	81.86	76.59	64.71	78.78	81.58	75.79	81.36	68.82
peak16847	chr8	25577723	25580277	.	2555	297.45	288.13	274.39	323.25	287.27	296.74	295.07	327.4
peak16848	chr8	25595838	25598111	.	2274	278.81	268.68	263.74	270.45	299.91	293.53	306	326.42
peak16849	chr8	25600970	25604031	.	3062	229.37	226.13	227.7	224.97	270.03	249.77	273.22	253.66
peak16850	chr8	25608585	25609954	.	1370	112.66	104.55	108.12	107.21	133.29	100.34	106.86	126.83
peak16851	chr8	25611438	25612806	.	1369	128.06	106.99	99.93	110.46	96.52	124.89	104.43	116.02
peak16852	chr8	25617619	25618703	.	1085	92.4	81.46	76.17	77.16	87.33	85.39	89.86	77.67
peak16853	chr8	25621146	25622419	.	1274	120.76	124.01	110.58	113.7	127.55	147.3	125.07	113.07
peak16854	chr8	25624337	25626897	.	2561	228.56	228.56	237.53	232.28	228.67	215.61	197.93	215.32
peak16855	chr8	25636840	25640205	.	3366	80.24	65.65	76.99	82.03	87.33	83.26	91.07	74.72
peak16856	chr8	25651341	25654733	.	3393	35.66	47.41	39.32	51.17	44.81	45.9	48.57	49.16
peak16857	chr8	25707701	25709664	.	1964	42.15	57.14	37.68	48.73	43.67	38.43	36.43	44.24
peak16858	chr8	25712887	25714196	.	1310	3.24	18.24	3.28	7.31	6.89	9.61	9.71	5.9
peak16859	chr8	25719180	25720878	.	1699	32.42	31.61	44.23	45.48	34.47	48.03	44.93	30.48
peak16860	chr8	25753343	25755321	.	1979	74.56	74.16	75.36	65.79	72.39	73.65	55.86	72.76
peak16861	chr8	25784102	25786506	.	2405	73.75	76.59	83.55	98.27	90.78	90.73	76.5	73.74
peak16862	chr8	25839890	25842100	.	2211	159.67	175.07	168.73	183.55	165.47	178.26	148.14	192.71
peak16863	chr8	25905567	25908044	.	2478	4.86	6.08	7.37	3.25	4.6	6.4	8.5	5.9
peak16864	chr8	25947792	25952065	.	4274	237.47	260.17	243.27	233.09	317.15	301.01	315.72	298.89
peak16865	chr8	25975682	25978074	.	2393	37.28	31.61	48.33	52.79	35.62	37.36	35.21	36.38
peak16866	chr8	25993193	25994947	.	1755	48.63	54.71	43.41	49.54	62.05	60.84	49.79	59.97
peak16867	chr8	26014548	26016373	.	1826	126.44	113.06	98.29	102.33	125.25	146.23	119	116.02
peak16868	chr8	26117772	26120543	.	2772	151.56	147.11	157.26	125.07	171.21	181.46	132.36	140.6
peak16869	chr8	26141034	26142394	.	1361	33.23	27.96	40.13	51.98	44.81	57.64	40.07	50.14
peak16870	chr8	26157509	26159916	.	2408	197.76	215.19	199.04	227.41	219.47	195.33	208.86	196.64
peak16871	chr8	26621322	26623055	.	1734	55.92	59.57	72.9	48.73	70.09	64.04	70.43	63.91
peak16872	chr8	26698190	26699448	.	1259	28.37	38.9	21.3	30.05	35.62	34.16	32.79	25.56
peak16873	chr8	26716377	26718038	.	1662	42.15	53.49	39.32	43.86	45.96	49.1	53.43	64.89
peak16874	chr8	26952414	26954234	.	1821	12.16	10.94	13.92	16.24	6.89	7.47	12.14	7.87
peak16875	chr8	26962939	26964409	.	1471	4.86	6.08	7.37	2.44	8.04	0	4.86	5.9
peak16876	chr8	26976164	26979373	.	3210	88.34	76.59	87.64	85.28	87.33	97.13	66.79	86.52
peak16877	chr8	27022674	27024652	.	1979	59.17	42.55	52.42	47.11	48.26	72.58	74.07	53.09
peak16878	chr8	27041872	27044286	.	2415	166.96	164.13	149.07	159.19	168.91	177.19	165.14	187.79
peak16879	chr8	27106227	27107744	.	1518	20.26	27.96	24.57	28.43	32.17	28.82	30.36	24.58
peak16880	chr8	27114766	27116319	.	1554	28.37	20.67	21.3	20.3	25.28	33.09	34	27.53
peak16881	chr8	27120029	27121308	.	1280	14.59	14.59	8.19	9.75	9.19	7.47	15.79	13.76
peak16882	chr8	27127548	27129336	.	1789	61.6	65.65	55.7	58.48	59.75	62.98	69.21	56.04
peak16883	chr8	27158585	27161787	.	3203	213.16	199.38	230.16	208.73	225.22	219.88	252.57	251.7
peak16884	chr8	27169916	27170974	.	1059	28.37	35.26	31.94	34.11	27.58	36.29	37.64	37.36
peak16885	chr8	27171704	27175095	.	3392	60.79	65.65	63.07	48.73	65.5	62.98	76.5	60.96
peak16887	chr8	27259694	27261643	.	1950	36.47	32.83	31.13	31.67	29.88	35.22	31.57	36.38
peak16888	chr8	31111121	31113179	.	2059	162.91	144.67	159.72	180.3	158.57	168.65	161.5	153.38
peak16889	chr8	31114564	31115960	.	1397	161.29	144.67	140.88	151.88	165.47	173.99	163.93	198.61
peak16890	chr8	31120159	31122099	.	1941	159.67	179.93	173.65	167.31	197.64	201.74	202.79	191.72
peak16891	chr8	31132912	31134419	.	1508	56.73	81.46	40.95	58.48	59.75	71.52	58.29	72.76
peak16892	chr8	31148770	31150688	.	1919	402.81	420.65	366.13	465.38	424.01	455.78	467.5	442.44
peak16893	chr8	31156411	31157877	.	1467	48.63	48.63	52.42	52.79	47.11	45.9	52.21	66.86
peak16894	chr8	31167517	31169720	.	2204	238.28	211.54	230.16	235.53	279.23	262.58	229.5	252.68
peak16897	chr8	33028307	33030839	.	2533	0.81	6.08	1.64	0.81	5.75	6.4	10.93	2.95
peak16899	chr8	33305820	33308967	.	3148	128.87	131.3	124.5	151.06	156.27	139.83	149.36	170.09
peak16901	chr8	33377618	33379167	.	1550	23.5	31.61	22.93	26.8	24.13	33.09	25.5	30.48
peak16902	chr8	33384002	33386008	.	2007	135.35	154.4	154.81	139.69	132.14	135.56	120.22	134.7
peak16903	chr8	33470227	33471782	.	1556	22.69	24.31	30.31	22.74	29.88	19.21	38.86	22.61
peak16905	chr8	33593584	33595118	.	1535	24.31	34.04	23.75	25.99	26.43	29.89	26.71	16.71
peak16906	chr8	33599809	33603815	.	4007	183.17	161.69	154.81	162.43	148.23	198.54	159.07	165.18
peak16907	chr8	33606049	33609108	.	3060	182.36	198.17	167.09	147.82	160.87	181.46	190.64	169.11
peak16908	chr8	33636248	33637413	.	1166	4.05	10.94	6.55	12.18	3.45	7.47	10.93	4.92
peak16909	chr8	33640918	33642769	.	1852	102.12	124.01	108.12	108.02	83.88	70.45	94.71	115.03
peak16910	chr8	33646567	33647628	.	1062	14.59	30.39	25.39	21.93	10.34	18.15	25.5	18.68
peak16911	chr8	33652695	33655106	.	2412	42.15	47.41	66.35	45.48	37.92	51.24	59.5	33.43
peak16913	chr8	33681353	33682626	.	1274	19.45	14.59	17.2	19.49	25.28	23.48	23.07	23.6
peak16915	chr8	33714980	33717519	.	2540	50.25	38.9	44.23	40.61	40.22	61.91	38.86	64.89
peak16916	chr8	33731152	33734062	.	2911	152.37	125.22	118.77	139.69	111.46	131.29	119	120.93
peak16917	chr8	33816748	33818228	.	1481	30.8	18.24	33.58	26.8	33.32	18.15	27.93	19.66
peak16918	chr8	33896539	33899789	.	3251	64.03	62	70.44	88.53	74.69	81.12	76.5	89.47
peak16919	chr8	33930099	33931917	.	1819	26.75	35.26	31.13	36.55	32.17	43.76	35.21	33.43
peak16920	chr8	34045104	34047573	.	2470	110.23	119.14	104.84	96.65	110.31	132.36	122.64	156.33
peak16921	chr8	34083294	34085001	.	1708	19.45	13.37	18.84	14.62	14.94	11.74	13.36	19.66
peak16922	chr8	34097399	34098435	.	1037	19.45	10.94	18.02	14.62	17.24	25.62	13.36	14.75
peak16923	chr8	34100932	34102229	.	1298	28.37	34.04	27.85	22.74	21.83	32.02	34	25.56
peak16924	chr8	34106994	34109339	.	2346	239.09	220.05	223.61	235.53	218.33	213.48	174.86	197.62
peak16925	chr8	34120105	34121197	.	1093	68.89	69.3	67.98	72.28	81.58	70.45	75.29	86.52
peak16926	chr8	34123513	34125339	.	1827	96.45	117.93	123.68	103.96	102.27	117.41	110.5	105.2
peak16927	chr8	34140574	34141236	.	663	32.42	21.88	29.49	38.17	26.43	32.02	35.21	36.38
peak16928	chr8	34142059	34144151	.	2093	248.01	226.13	226.07	222.54	224.07	229.49	231.93	224.17
peak16929	chr8	34144570	34146726	.	2157	193.71	209.11	187.57	190.05	207.98	164.38	196.72	197.62
peak16930	chr8	34147087	34147943	.	857	75.38	76.59	64.71	68.22	52.86	60.84	63.14	67.84
peak16931	chr8	34148917	34150629	.	1713	248.01	226.13	212.96	189.24	209.13	192.13	161.5	175.99
peak16932	chr8	34153989	34155973	.	1985	230.18	209.11	221.97	236.34	194.19	245.5	200.36	190.74
peak16933	chr8	34157280	34158768	.	1489	191.27	199.38	216.24	227.41	179.26	209.21	188.22	180.91
peak16934	chr8	34162951	34164955	.	2005	213.97	209.11	194.12	190.05	210.28	204.94	187	212.37
peak16935	chr8	34166122	34167404	.	1283	94.02	104.55	84.37	83.65	105.72	109.94	94.71	95.37
peak16936	chr8	34207358	34208798	.	1441	24.31	29.18	31.94	26.8	28.73	33.09	21.86	29.5
peak16937	chr8	34214098	34217655	.	3558	491.96	426.73	471.79	482.43	559.6	512.35	537.93	549.61
peak16938	chr8	34275156	34277383	.	2228	38.9	46.2	40.13	54.42	37.92	45.9	38.86	64.89
peak16940	chr8	34314254	34316187	.	1934	86.72	93.61	98.29	93.4	112.61	119.55	100.79	110.12
peak16942	chr8	34383465	34385141	.	1677	11.35	24.31	10.65	17.06	5.75	12.81	20.64	13.76
peak16943	chr8	34397185	34398695	.	1511	38.09	57.14	34.4	34.92	42.52	30.95	31.57	34.41
peak16946	chr8	34597608	34599480	.	1873	4.86	9.73	0.82	6.5	5.75	5.34	8.5	0.98
peak16947	chr8	34622228	34623391	.	1164	7.29	10.94	8.19	8.93	13.79	7.47	10.93	12.78
peak16949	chr8	34651085	34652628	.	1544	38.09	31.61	36.86	38.98	39.07	45.9	41.29	35.39
peak16950	chr8	34654335	34655483	.	1149	9.73	6.08	9.83	4.06	9.19	4.27	3.64	3.93
peak16951	chr8	34670789	34672629	.	1841	33.23	30.39	32.76	38.98	25.28	36.29	42.5	28.51
peak16952	chr8	34681756	34683199	.	1444	3.24	1.22	3.28	0.81	1.15	4.27	2.43	0
peak16953	chr8	34688552	34690322	.	1771	30.8	15.8	16.38	18.68	19.53	9.61	21.86	18.68
peak16954	chr8	34731381	34733183	.	1803	12.97	14.59	22.12	26.8	24.13	21.35	24.29	26.55
peak16955	chr8	34739684	34741372	.	1689	21.88	18.24	14.74	18.68	24.13	19.21	14.57	19.66
peak16956	chr8	34755346	34757351	.	2006	4.05	6.08	5.73	3.25	6.89	5.34	3.64	0
peak16957	chr8	34805135	34808804	.	3670	122.38	120.36	97.47	90.15	99.97	116.35	121.43	113.07
peak16958	chr8	34809415	34810843	.	1429	8.92	9.73	7.37	4.87	6.89	6.4	12.14	7.87
peak16959	chr8	34815310	34816916	.	1607	17.83	10.94	17.2	20.3	13.79	16.01	17	24.58
peak16960	chr8	34903925	34906311	.	2387	41.33	36.47	37.68	47.92	43.67	22.42	44.93	36.38
peak16961	chr8	34938334	34939851	.	1518	79.43	86.32	66.35	75.53	94.22	53.37	81.36	111.1
peak16962	chr8	34944755	34945753	.	999	38.9	48.63	43.41	40.61	49.41	42.7	47.36	41.29
peak16963	chr8	34947628	34949262	.	1635	54.3	42.55	56.52	48.73	41.37	64.04	53.43	50.14
peak16964	chr8	34963925	34966531	.	2607	98.07	94.83	97.47	80.41	96.52	87.53	81.36	100.29
peak16966	chr8	35122853	35125003	.	2151	34.85	35.26	36.86	47.11	40.22	32.02	41.29	41.29
peak16969	chr8	35205313	35206816	.	1504	25.13	20.67	27.03	16.24	16.09	13.88	26.71	19.66
peak16970	chr8	35250388	35251863	.	1476	23.5	29.18	34.4	26.8	33.32	21.35	31.57	34.41
peak16973	chr8	35375097	35377742	.	2646	55.92	60.79	61.43	63.35	62.05	64.04	82.57	63.91
peak16975	chr8	35425307	35426981	.	1675	16.21	10.94	13.92	9.75	9.19	11.74	10.93	16.71
peak16978	chr8	35494163	35496976	.	2814	103.74	93.61	110.58	109.64	102.27	98.2	89.86	84.55
peak16979	chr8	35591169	35592449	.	1281	34.04	30.39	40.13	24.37	34.47	28.82	23.07	29.5
peak16980	chr8	35596201	35597883	.	1683	196.95	162.91	178.56	181.11	190.75	223.09	208.86	200.57
peak16981	chr8	35627779	35629005	.	1227	55.92	54.71	45.87	38.17	44.81	41.63	38.86	42.28
peak16982	chr8	35633022	35635497	.	2476	111.04	91.18	95.83	94.21	94.22	111.01	100.79	108.15
peak16983	chr8	35650473	35651976	.	1504	17.02	17.02	30.31	21.12	19.53	17.08	24.29	22.61
peak16984	chr8	35677645	35681157	.	3513	165.34	156.83	146.62	164.87	142.49	149.44	143.29	147.48
peak16985	chr8	35692295	35693469	.	1175	25.94	40.12	35.22	19.49	33.32	28.82	26.71	25.56
peak16986	chr8	35991590	35993511	.	1922	45.39	47.41	45.05	53.6	40.22	55.5	57.07	38.34
peak16987	chr8	36010036	36011579	.	1544	72.13	85.1	78.63	65.79	78.14	86.46	87.43	80.62
