peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27me3_Rep1_S5	Naive_P14_Day30_H3K27me3_Rep2_S6	Naive_P14_Day30_H3K27me3_Rep3_S3	Naive_P14_Day30_H3K27me3_Rep4_S4	Naive_P14_Day32_H3K27me3_Rep1_S9	Naive_P14_Day32_H3K27me3_Rep2_S10	Naive_P14_Day32_H3K27me3_Rep3_S11	Naive_P14_Day32_H3K27me3_Rep4_S12
peak17788	chr10	42069806	42130707	.	60902	334.64	356.53	367.76	352.33	291.27	311.1	306.09	282.28
peak17789	chr10	42133412	42180143	.	46732	226.35	259.37	213.68	212.44	186.99	213.61	214.26	188.53
peak17790	chr10	42200032	42256773	.	56742	39.06	42.24	55.03	44.88	47.65	66.82	80.22	86.54
peak17791	chr10	42260880	42264635	.	3756	2.66	3.38	1.83	2.99	7.19	5.48	7.39	7.21
peak17792	chr10	42270430	42311576	.	41147	296.47	287.25	276.05	276.78	293.97	273.85	299.76	259.62
peak17793	chr10	42381799	42389586	.	7788	16.87	23.66	23.84	25.43	26.07	21.91	23.22	25.76
peak17794	chr10	42438334	42447991	.	9658	15.98	17.74	16.51	22.44	16.18	26.29	20.05	21.63
peak17795	chr10	42478215	42502287	.	24073	165.1	170.66	150.4	173.55	153.73	157.74	168.88	147.32
peak17796	chr10	42540013	42555807	.	15795	616.91	672.5	690.57	685.21	677.84	657.25	651.24	672.74
peak17797	chr10	42559578	42598409	.	38832	4828.79	4693.97	4882.63	4720.92	6436.76	6581.28	5805.2	6192.76
peak17798	chr10	42602513	42604099	.	1587	165.99	178.26	162.33	140.63	186.99	176.36	160.43	185.44
peak17799	chr10	42607368	42642157	.	34790	3540.82	3413.18	3429.94	3372.19	4697.22	4763.98	4114.31	4550.56
peak17800	chr10	42651113	42669497	.	18385	156.23	147	149.49	133.15	115.97	138.02	149.88	125.69
peak17801	chr10	42709288	42737582	.	28295	393.23	442.7	428.28	472.02	419.83	451.31	427.47	416.22
peak17802	chr10	42745841	42761877	.	16037	347.96	322.73	335.66	356.07	317.34	272.76	279.71	301.86
peak17803	chr10	42842178	42855980	.	13803	15.98	10.14	12.84	15.71	8.99	15.34	22.17	17.51
peak17804	chr10	42859867	42864752	.	4886	7.99	5.07	1.83	5.98	6.29	6.57	10.55	12.36
peak17805	chr10	42868683	42881649	.	12967	12.43	3.38	6.42	8.98	8.99	9.86	12.67	17.51
peak17806	chr10	42888245	42911808	.	23564	24.85	24.5	27.51	22.44	23.37	20.81	36.94	47.39
peak17807	chr10	42914327	42918325	.	3999	1.78	1.69	4.59	3.74	1.8	3.29	3.17	6.18
peak17808	chr10	42924597	42929074	.	4478	8.88	12.67	11.01	4.49	11.69	9.86	10.55	14.42
peak17809	chr10	42942249	42946456	.	4208	5.33	4.22	2.75	2.24	2.7	9.86	5.28	7.21
peak17810	chr10	42964518	42986405	.	21888	462.46	484.94	485.14	495.21	438.71	530.18	462.31	464.64
peak17811	chr10	42989805	42996367	.	6563	324.88	329.49	300.81	305.95	342.51	352.72	306.09	283.32
peak17812	chr10	43000475	43035163	.	34689	3388.14	3393.75	3410.68	3254	4203.67	4345.53	3742.77	4135.37
peak17813	chr10	43037922	43052207	.	14286	803.32	748.53	768.53	790.68	878.31	933.3	818.01	877.76
peak17814	chr10	43054469	43151178	.	96710	4784.41	4616.25	4688.2	4619.93	4886.91	4808.89	4536.5	4710.24
peak17815	chr10	43156845	43161711	.	4867	379.02	405.53	421.86	391.98	436.01	445.84	370.48	368.82
peak17816	chr10	43165741	43197300	.	31560	3605.62	3594.83	3535.41	3431.29	4457.19	4561.33	4018.26	4288.88
peak17817	chr10	43200985	43221729	.	20745	376.36	362.44	408.11	348.59	335.32	391.06	359.92	361.61
peak17818	chr10	43260171	43272882	.	12712	35.51	37.17	32.1	39.65	36.86	40.53	40.11	34
peak17819	chr10	43442383	43465633	.	23251	205.93	206.99	236.61	237.88	208.57	223.47	234.32	207.08
peak17820	chr10	43468528	43481055	.	12528	199.72	234.02	186.17	207.21	207.67	248.66	222.71	205.02
peak17822	chr10	43539629	43569113	.	29485	215.7	217.97	221.94	231.89	207.67	190.6	186.82	189.56
peak17823	chr10	43571095	43655243	.	84149	810.42	815.28	864.82	822.1	848.65	830.33	863.39	798.43
peak17824	chr10	43658009	43687568	.	29560	179.3	143.62	185.25	175.04	160.92	154.45	146.71	168.96
peak17825	chr10	43688178	43697840	.	9663	63.91	62.52	62.36	71.06	70.12	62.44	73.88	70.06
peak17826	chr10	43702736	43714233	.	11498	84.33	93.78	82.54	86.77	86.3	79.97	97.11	89.63
peak17827	chr10	43719029	43738387	.	19359	183.74	200.23	215.52	208.7	220.25	182.94	207.93	211.2
peak17828	chr10	43748479	43825253	.	76775	357.72	375.11	416.36	393.47	379.37	370.25	358.87	371.92
peak17829	chr10	43830027	43834587	.	4561	23.97	33.79	26.6	26.93	29.67	19.72	34.83	32.97
peak17830	chr10	43836712	43872455	.	35744	137.59	118.28	134.81	135.4	134.85	123.78	151.99	123.63
peak17831	chr10	43930548	43938564	.	8017	12.43	10.14	12.84	14.96	9.89	15.34	9.5	13.39
peak17833	chr10	44002553	44023961	.	21409	1201.87	1185.32	1250.92	1227.54	1437.48	1505.11	1421.75	1488.69
peak17834	chr10	44027299	44035458	.	8160	131.37	137.71	134.81	138.39	141.14	153.36	106.6	162.78
peak17835	chr10	44039563	44066452	.	26890	985.29	994.39	1062.92	1003.13	1132.73	1043.93	1031.22	1026.12
peak17836	chr10	44071068	44095006	.	23939	1272.88	1279.1	1313.28	1270.93	1449.17	1450.34	1310.92	1376.4
peak17837	chr10	44098185	44166351	.	68167	2487.18	2448.37	2396.38	2519.42	2520.77	2680.49	2458.24	2534.38
peak17838	chr10	44174447	44206102	.	31656	1687.41	1632.25	1737.9	1723.5	1752.13	1800.87	1655.01	1800.85
peak17839	chr10	44213379	44222639	.	9261	294.7	272.89	273.29	287.25	272.39	297.95	269.15	273.01
peak17840	chr10	44223828	44264798	.	40971	1885.36	1846.84	1898.39	1910.51	2048.8	2095.54	1876.66	1916.24
peak17842	chr10	44336653	44344478	.	7826	69.24	71.81	67.87	66.58	62.03	64.63	84.44	49.45
peak17843	chr10	44358517	44444594	.	86078	2852.89	2895.29	2770.55	2768.52	3554.6	3671.85	3307.91	3494.56
peak17844	chr10	44448364	44532372	.	84009	7945.32	7725.28	7864.11	7544.79	11342.55	11595.01	10194.99	10850.46
peak17845	chr10	44534319	44555867	.	21549	1208.09	1183.63	1102.35	1139.27	1421.3	1455.81	1218.04	1358.88
peak17846	chr10	44567380	44860902	.	293523	8747.75	8846.4	8763.78	8629.46	9292.85	8921.09	8674.03	9081.54
peak17847	chr10	44862398	44905576	.	43179	600.94	620.12	610.79	629.11	570.86	540.04	587.91	615.05
peak17848	chr10	44912353	45003310	.	90958	2225.33	2277.71	2223.96	2191.03	2257.36	2208.37	2156.37	2171.74
peak17849	chr10	45007227	45015933	.	8707	169.54	187.56	155.91	186.26	165.41	210.32	163.6	160.72
peak17850	chr10	45020040	45064291	.	44252	1494.8	1465.81	1461.85	1406.33	1586.72	1628.89	1509.35	1621.59
peak17851	chr10	45162413	45192393	.	29981	584.07	571.12	607.12	580.48	593.33	610.15	562.58	535.72
peak17852	chr10	45195100	45237541	.	42442	539.69	528.87	486.06	541.59	501.64	479.79	471.8	521.3
peak17853	chr10	45240398	45255977	.	15580	72.79	81.95	80.7	70.32	77.31	72.3	93.94	91.69
peak17854	chr10	45257212	45268450	.	11239	39.06	41.4	43.1	40.39	38.66	44.91	44.33	38.12
peak17855	chr10	45282533	45310920	.	28388	690.59	749.38	713.5	663.52	790.21	842.38	732.51	791.22
peak17856	chr10	45320851	45343632	.	22782	809.53	752.76	750.19	809.39	963.72	968.35	881.34	1002.42
peak17857	chr10	45346990	45450338	.	103349	1932.4	1989.62	1946.08	1868.62	1907.66	2024.33	1878.78	1863.7
peak17858	chr10	45460883	45491157	.	30275	3394.36	3512.03	3347.41	3352.74	4668.45	4728.92	4093.2	4433.11
peak17859	chr10	45503224	45519147	.	15924	210.37	201.07	224.69	197.48	183.39	192.79	205.82	215.32
peak17860	chr10	45525260	45533377	.	8118	57.7	59.98	50.44	59.1	50.34	49.29	51.72	45.33
peak17861	chr10	45538960	45547362	.	8403	80.78	76.04	71.53	83.78	62.93	92.02	91.83	63.87
peak17862	chr10	45560198	45577966	.	17769	592.95	581.25	625.46	549.81	637.38	636.44	588.96	664.5
peak17863	chr10	45720501	45752310	.	31810	316	340.47	348.5	359.81	308.35	292.48	309.26	310.1
peak17864	chr10	45756482	45804624	.	48143	564.54	588.01	586.94	617.89	584.34	622.2	611.13	577.96
peak17865	chr10	45807990	45811797	.	3808	23.08	24.5	26.6	20.2	17.98	20.81	24.28	23.7
peak17866	chr10	45813604	45836799	.	23196	339.08	327.8	337.49	314.93	338.02	307.81	357.81	312.16
peak17867	chr10	45860028	45873869	.	13842	86.1	94.62	76.12	85.28	71.02	90.92	84.44	83.45
peak17868	chr10	45896118	45904860	.	8743	75.45	70.12	71.53	62.84	74.62	65.73	61.22	68
peak17869	chr10	45913859	45949270	.	35412	561.88	567.74	577.77	573	566.36	582.76	565.74	528.51
peak17870	chr10	45953514	45960694	.	7181	53.26	59.14	59.61	65.83	50.34	41.63	47.5	58.72
peak17872	chr10	47068337	47074108	.	5772	46.16	50.69	57.78	39.65	56.64	48.2	48.55	59.75
peak17874	chr10	49781265	49789238	.	7974	80.78	92.93	95.38	96.5	101.59	98.59	94.99	74.18
peak17877	chr10	49967511	49971300	.	3790	13.31	15.21	20.18	14.21	16.18	15.34	27.44	15.45
peak17879	chr10	50258085	50262393	.	4309	27.52	33.79	28.43	32.91	25.17	26.29	26.39	25.76
peak17881	chr10	50290072	50296137	.	6066	45.27	42.24	55.94	49.37	54.84	56.96	62.27	52.54
peak17882	chr10	50555999	50594242	.	38244	844.15	833.86	873.08	910.37	913.37	950.82	910.89	920
peak17884	chr10	50856336	50880929	.	24594	1247.14	1250.37	1220.66	1288.13	1443.78	1513.87	1298.25	1383.61
peak17885	chr10	50884038	50918723	.	34686	4486.16	4372.09	4347.04	4316.97	6489.8	6617.43	5699.65	6115.49
peak17886	chr10	50922437	50930972	.	8536	423.41	397.92	421.86	440.6	441.4	476.51	464.42	409
peak17887	chr10	50937464	50956109	.	18646	237.89	225.57	200.84	235.63	194.18	198.27	210.04	224.59
peak17888	chr10	50984236	50998532	.	14297	65.69	65.05	68.78	65.83	74.62	67.92	87.61	64.9
peak17889	chr10	51248048	51364310	.	116263	360.38	395.39	338.41	364.3	338.92	312.19	427.47	377.07
peak17890	chr10	51365343	51451612	.	86270	786.45	836.4	829.97	789.19	932.25	912.48	861.28	883.94
peak17891	chr10	51458942	51486880	.	27939	158.89	179.95	161.41	192.25	176.2	187.32	179.43	194.71
peak17892	chr10	51496365	51578103	.	81739	1098.02	1061.13	1055.58	1056.24	1295.44	1273.97	1204.32	1307.37
peak17893	chr10	51583260	51622198	.	38939	566.32	585.48	600.7	595.44	619.4	574	593.19	596.51
peak17895	chr10	51629410	51663488	.	34079	252.98	294.85	260.46	298.47	264.3	255.23	295.54	239.02
peak17896	chr10	51664968	51671146	.	6179	47.93	57.45	50.44	46.38	51.24	58.06	58.05	71.09
peak17897	chr10	51673227	51697844	.	24618	489.09	505.22	494.32	517.65	595.13	593.72	614.3	603.72
peak17898	chr10	51702038	51705699	.	3662	11.54	12.67	9.17	14.21	14.38	16.43	14.78	11.33
peak17899	chr10	52017344	52034793	.	17450	740.3	779.79	727.26	681.47	938.54	916.87	967.89	899.4
peak17900	chr10	52052605	52058882	.	6278	40.83	53.23	53.19	44.88	59.33	40.53	48.55	56.66
peak17902	chr10	52204405	52243102	.	38698	1279.99	1335.7	1359.14	1321.05	1626.27	1740.62	1595.9	1642.2
peak17903	chr10	52269186	52275439	.	6254	53.26	52.38	67.87	53.86	72.82	51.48	55.94	49.45
peak17904	chr10	52289544	52301886	.	12343	111.84	123.35	102.71	118.94	113.27	101.87	127.71	96.84
peak17905	chr10	52304901	52331556	.	26656	340.86	333.71	359.5	342.6	331.73	305.62	340.92	315.25
peak17906	chr10	52385438	52417559	.	32122	2664.71	2705.2	2624.73	2609.18	3532.13	3413.33	3269.91	3393.6
peak17907	chr10	52441918	52465324	.	23407	227.24	229.8	188	190	190.59	174.17	187.88	194.71
peak17908	chr10	52472083	52475689	.	3607	27.52	34.64	38.52	33.66	31.46	23	28.5	31.94
peak17909	chr10	52496538	52502701	.	6164	19.53	17.74	26.6	27.68	28.77	32.86	31.66	34
peak17911	chr10	52686401	52695648	.	9248	221.02	241.63	254.04	255.08	276.89	280.43	268.09	270.95
peak17912	chr10	53135807	53141133	.	5327	19.53	20.28	19.26	23.19	15.28	19.72	16.89	22.67
peak17913	chr10	53216212	53229430	.	13219	50.6	53.23	44.94	65.08	44.95	46.01	57	56.66
peak17914	chr10	53240148	53247746	.	7599	36.39	40.55	32.1	35.16	38.66	30.67	33.78	48.42
peak17915	chr10	53256639	53270239	.	13601	76.34	65.9	65.11	65.08	58.43	53.68	69.66	61.81
peak17916	chr10	53321732	53348606	.	26875	152.68	126.73	128.39	123.43	130.35	140.21	164.66	135.99
peak17918	chr10	53374158	53414259	.	40102	1922.64	1917.8	1884.63	1934.45	2488.4	2503.03	2288.31	2365.42
peak17919	chr10	53419711	53431773	.	12063	110.96	122.5	134.81	105.47	101.59	110.64	109.77	127.75
peak17920	chr10	53435588	53470935	.	35348	400.33	408.06	426.45	418.16	389.26	408.59	431.7	347.19
peak17921	chr10	53476872	53490755	.	13884	107.41	99.69	121.06	105.47	109.68	99.68	120.33	92.72
peak17922	chr10	53499403	53519262	.	19860	173.09	192.63	191.67	180.28	169.01	202.65	186.82	200.9
peak17924	chr10	53569732	53577768	.	8037	55.03	52.38	62.36	52.36	51.24	48.2	46.44	60.78
peak17925	chr10	53630409	53669270	.	38862	726.98	695.31	722.67	737.57	766.84	775.56	708.23	739.71
peak17926	chr10	53670894	53706230	.	35337	419.86	405.53	400.77	400.2	386.57	381.21	382.09	370.89
peak17927	chr10	53712561	53736557	.	23997	222.8	206.14	209.1	219.18	163.62	188.41	230.1	189.56
peak17928	chr10	53739860	53767054	.	27195	825.51	861.74	827.22	831.08	1042.83	1015.45	986.88	943.7
peak17929	chr10	53771408	53780431	.	9024	93.2	107.3	99.05	95.75	84.5	105.16	80.22	69.03
peak17930	chr10	53783060	53882106	.	99047	703.02	680.1	675.9	682.97	680.53	671.49	662.85	664.5
peak17931	chr10	53883218	53898303	.	15086	189.96	191.78	177.92	175.79	167.21	166.5	203.71	199.87
peak17932	chr10	54074696	54089710	.	15015	184.63	181.64	178.83	186.26	224.75	212.51	168.88	216.35
peak17933	chr10	54091016	54144447	.	53432	435.83	474.8	436.54	396.46	445.9	445.84	408.48	450.21
peak17934	chr10	54149084	54272985	.	123902	1245.37	1301.06	1332.54	1296.36	1260.38	1237.82	1335.2	1206.41
peak17935	chr10	54276003	54339549	.	63547	790	804.29	828.14	863.24	797.4	747.08	778.95	751.04
peak17936	chr10	54340921	54363733	.	22813	161.55	170.66	163.24	170.55	160.02	168.69	191.04	188.53
peak17937	chr10	54366454	54383816	.	17363	121.61	141.09	140.32	132.4	133.95	142.4	128.77	123.63
peak17938	chr10	54391023	54412530	.	21508	136.7	126.73	116.47	133.15	115.07	116.11	139.32	121.57
peak17939	chr10	54419407	54448463	.	29057	211.26	190.94	202.68	198.23	181.6	179.65	186.82	185.44
peak17941	chr10	54467585	54471849	.	4265	23.97	26.19	18.34	35.16	28.77	23	19	16.48
peak17942	chr10	54693296	54701791	.	8496	66.57	64.21	56.86	52.36	68.32	84.35	70.72	55.63
peak17946	chr10	55974049	55994197	.	20149	192.62	190.09	200.84	191.5	199.58	231.13	207.93	206.05
peak17947	chr10	55997689	56003657	.	5969	59.47	51.54	38.52	44.88	37.76	29.58	43.28	66.97
peak17948	chr10	56007182	56010292	.	3111	31.07	31.26	30.26	33.66	39.56	26.29	29.55	14.42
peak17949	chr10	56093325	56133753	.	40429	240.55	237.4	239.36	237.13	245.42	243.18	252.26	260.65
peak17950	chr10	56212194	56250172	.	37979	792.67	827.11	772.2	760.76	923.26	888.38	837	934.43
peak17951	chr10	56257736	56268138	.	10403	88.76	104.76	110.97	102.48	105.18	104.06	90.77	100.96
peak17952	chr10	56328841	56352454	.	23614	421.63	398.77	403.52	433.87	411.74	486.37	442.25	417.25
peak17953	chr10	56355974	56383063	.	27090	1382.95	1335.7	1367.39	1342.74	1852.82	1775.67	1663.45	1754.49
peak17954	chr10	56988104	57007425	.	19322	146.46	164.75	139.4	141.38	143.84	165.41	164.66	132.9
peak17955	chr10	57418993	57424242	.	5250	68.35	64.21	52.27	75.55	70.12	48.2	55.94	45.33
peak17956	chr10	57424596	57494247	.	69652	2306.99	2456.82	2429.39	2372.8	2695.17	2803.18	2462.46	2621.95
peak17957	chr10	57533474	57556001	.	22528	1925.3	1862.04	1822.27	1875.35	2384.12	2452.64	2112.04	2308.76
peak17958	chr10	57558920	57564780	.	5861	203.27	172.35	203.6	184.02	205.87	199.37	191.04	193.68
peak17959	chr10	57567451	57598276	.	30826	624.02	626.88	697.91	643.32	650.87	696.69	670.24	617.11
peak17960	chr10	57600604	57676711	.	76108	1477.93	1487.78	1473.78	1448.96	1500.41	1467.86	1450.25	1547.42
peak17961	chr10	57682390	57746441	.	64052	1099.79	1034.09	1026.23	1110.1	1067.1	1046.13	1020.66	1044.66
peak17962	chr10	57760730	57791979	.	31250	623.13	578.72	597.95	623.87	649.07	671.49	630.13	672.74
peak17963	chr10	57817778	57862817	.	45040	1238.27	1267.27	1285.77	1276.91	1485.13	1404.33	1341.53	1462.94
peak17964	chr10	58205865	58223310	.	17446	420.74	413.98	407.19	449.58	376.68	403.11	419.03	377.07
peak17965	chr10	58226015	58228320	.	2306	35.51	38.86	31.18	25.43	39.56	37.24	58.05	39.15
peak17966	chr10	58228520	58238329	.	9810	123.38	121.66	112.8	134.65	117.77	152.26	157.27	150.41
peak17967	chr10	58239876	58255737	.	15862	261.86	255.99	235.69	230.4	240.03	222.37	250.15	261.68
peak17968	chr10	58315969	58323501	.	7533	18.64	36.33	27.51	22.44	25.17	40.53	26.39	34
peak17969	chr10	58431992	58442602	.	10611	79.89	80.26	88.04	89.77	61.13	64.63	66.5	79.33
peak17971	chr10	58555889	58571234	.	15346	43.49	54.92	58.69	56.1	52.14	73.39	72.83	59.75
peak17972	chr10	58577594	58608113	.	30520	274.28	271.2	299.89	299.22	275.09	248.66	252.26	262.71
peak17973	chr10	58611287	58621079	.	9793	124.27	98.85	123.81	116.7	97.99	113.92	117.16	93.75
peak17975	chr10	58637102	58663628	.	26527	541.46	623.5	666.73	626.11	622.1	682.45	649.13	657.29
peak17976	chr10	58668144	58685610	.	17467	531.7	508.6	502.57	484.73	508.83	551	488.69	466.7
peak17977	chr10	58688922	58711305	.	22384	312.45	341.32	327.4	314.93	314.65	324.24	298.7	324.52
peak17978	chr10	58713836	58743150	.	29315	387.01	386.1	385.18	400.95	376.68	398.73	384.2	373.98
peak17979	chr10	58746160	58754875	.	8716	68.35	68.43	57.78	82.29	52.14	67.92	79.16	90.66
peak17981	chr10	58781984	58798475	.	16492	174.87	196.85	173.33	170.55	178.9	155.55	174.16	169.99
peak17982	chr10	58801572	58822056	.	20485	846.81	881.18	814.38	798.91	1011.36	1034.08	968.94	1004.48
peak17983	chr10	58838180	58841660	.	3481	41.72	31.26	42.19	41.14	33.26	43.82	48.55	32.97
peak17984	chr10	58846333	58865077	.	18745	197.06	202.76	195.34	193	168.11	185.13	170.99	169.99
peak17986	chr10	58930948	58934673	.	3726	34.62	52.38	45.85	38.9	40.45	55.87	43.28	46.36
peak17987	chr10	58964294	58969147	.	4854	47.93	48.16	53.19	57.6	42.25	42.72	36.94	37.09
peak17988	chr10	58996174	59000271	.	4098	55.03	51.54	60.53	58.35	56.64	56.96	41.16	40.18
peak17989	chr10	59003442	59008598	.	5157	75.45	59.14	74.28	53.86	41.35	49.29	45.39	46.36
peak17990	chr10	59014396	59029588	.	15193	142.91	168.97	137.56	159.33	146.54	164.31	148.82	117.45
peak17991	chr10	59036782	59049948	.	13167	122.5	100.54	116.47	123.43	102.48	106.26	113.99	117.45
peak17992	chr10	59051175	59069180	.	18006	205.93	212.9	219.19	195.24	201.37	176.36	220.6	188.53
peak17993	chr10	59073026	59117731	.	44706	907.17	871.88	866.66	897.65	906.18	910.29	967.89	886
peak17994	chr10	59120433	59126200	.	5768	69.24	69.28	65.11	54.61	65.63	66.82	69.66	65.94
peak17995	chr10	59128147	59177499	.	49353	1283.54	1267.27	1304.11	1282.15	1298.14	1361.61	1288.76	1261.01
peak17996	chr10	59188312	59237962	.	49651	3833.74	3691.14	3735.34	3704.32	4808.69	4962.25	4361.29	4661.82
peak17997	chr10	59242930	59289203	.	46274	2204.91	2192.38	2215.71	2203.74	2465.03	2425.26	2279.86	2401.48
peak17998	chr10	59301057	59326903	.	25847	208.6	218.82	210.93	258.08	220.25	234.42	231.15	229.74
peak17999	chr10	59386682	59446881	.	60200	591.17	599	652.06	596.19	569.96	606.86	610.07	559.42
peak18000	chr10	59497068	59503213	.	6146	40.83	34.64	33.93	45.63	20.68	28.48	49.61	38.12
peak18002	chr10	59535676	59544112	.	8437	282.27	260.21	274.21	240.87	275.09	264	231.15	280.22
peak18003	chr10	59576078	59680223	.	104146	1445.09	1440.46	1481.11	1433.26	1349.38	1393.37	1386.92	1388.76
peak18004	chr10	59684378	59699496	.	15119	80.78	86.17	97.21	90.51	84.5	98.59	93.94	79.33
peak18006	chr10	59850875	59856848	.	5974	61.25	54.92	49.52	45.63	38.66	54.77	44.33	41.21
peak18007	chr10	59865035	59879639	.	14605	55.03	53.23	46.77	48.62	48.55	50.39	58.05	63.87
peak18008	chr10	59910771	59914709	.	3939	1.78	0.84	1.83	2.24	6.29	3.29	5.28	7.21
peak18009	chr10	59941650	59945149	.	3500	8.88	14.36	7.34	9.72	9.89	7.67	13.72	14.42
peak18010	chr10	59951840	59958464	.	6625	12.43	9.29	6.42	8.98	6.29	4.38	10.55	13.39
peak18011	chr10	59968165	59971667	.	3503	7.99	4.22	3.67	3.74	4.49	3.29	5.28	3.09
peak18012	chr10	60034749	60043353	.	8605	15.09	14.36	18.34	17.21	10.79	14.24	28.5	18.54
peak18013	chr10	60052247	60061114	.	8868	10.65	19.43	10.09	20.95	15.28	16.43	20.05	20.6
peak18014	chr10	60087350	60097574	.	10225	28.4	34.64	37.6	24.69	33.26	24.1	23.22	29.88
peak18015	chr10	60100642	60135616	.	34975	591.17	616.74	626.38	586.47	677.84	714.21	645.96	677.9
peak18016	chr10	60142157	60167009	.	24853	104.74	115.74	119.22	124.92	111.47	140.21	139.32	133.93
peak18017	chr10	60177144	60180975	.	3832	17.75	10.14	13.76	14.21	16.18	17.53	16.89	16.48
peak18018	chr10	60184036	60275951	.	91916	1344.78	1314.58	1410.5	1359.2	1514.8	1490.87	1510.41	1536.08
peak18019	chr10	60305323	60343887	.	38565	176.64	162.21	175.17	155.59	167.21	144.6	173.1	175.14
peak18020	chr10	60397585	60417827	.	20243	80.78	93.78	83.46	112.21	92.6	122.69	96.05	114.36
peak18021	chr10	60421125	60562636	.	141512	2292.79	2295.45	2278.07	2306.23	2470.42	2462.5	2474.07	2451.96
peak18022	chr10	60565290	60594192	.	28903	235.23	246.7	234.78	273.04	254.41	271.66	269.15	259.62
peak18023	chr10	60597445	60634016	.	36572	385.24	386.1	407.19	381.5	400.05	376.82	427.47	397.67
peak18024	chr10	60635204	60665154	.	29951	347.96	331.18	351.25	356.07	348.81	377.92	333.54	345.13
peak18025	chr10	60669394	60709074	.	39681	912.5	831.33	832.72	849.78	1088.68	965.06	1054.44	990.06
peak18026	chr10	60754933	60774228	.	19296	214.81	208.68	242.11	205.71	234.64	253.04	264.93	225.62
peak18027	chr10	60777000	60785953	.	8954	148.24	128.42	135.73	126.42	161.82	152.26	134.05	152.48
peak18028	chr10	60789524	60814501	.	24978	1628.83	1600.99	1606.75	1603.06	2136	2113.06	1909.38	2062.53
peak18029	chr10	60821175	60845715	.	24541	1839.2	1777.56	1774.58	1755.66	2386.82	2327.77	2137.37	2258.28
peak18030	chr10	60853175	60912725	.	59551	1050.97	996.08	1069.34	1056.24	1042.83	993.55	1018.55	973.57
peak18031	chr10	60916641	60959890	.	43250	714.55	701.22	701.58	734.58	692.22	749.27	728.29	701.59
peak18032	chr10	60967739	61000136	.	32398	559.22	529.72	552.09	552.06	519.62	483.08	497.14	501.73
peak18033	chr10	61011169	61056175	.	45007	1000.38	1009.59	1020.73	1018.84	1074.29	1034.08	1077.66	1072.48
peak18034	chr10	61064395	61094942	.	30548	1081.15	1121.96	1005.14	1049.51	1261.28	1243.3	1142.04	1186.83
peak18035	chr10	61147652	61220165	.	72514	2674.48	2660.42	2692.6	2665.29	2973.86	3006.93	2729.5	2858.91
peak18036	chr10	61238102	61243941	.	5840	26.63	32.95	29.35	27.68	26.07	38.34	25.33	39.15
peak18037	chr10	61251233	61294460	.	43228	1313.72	1425.26	1382.07	1319.55	1706.28	1723.09	1515.69	1629.84
peak18038	chr10	61303740	61369782	.	66043	1389.17	1345	1330.71	1371.92	1514.8	1557.69	1442.86	1434.09
peak18039	chr10	61374521	61395940	.	21420	1595.1	1503.83	1584.74	1543.22	2020.93	2069.25	1809.11	1998.66
peak18040	chr10	61401254	61425754	.	24501	1975.9	1943.99	1931.41	1947.91	2522.56	2567.66	2238.7	2530.26
peak18041	chr10	61452664	61476648	.	23985	555.67	617.58	623.63	596.19	752.45	717.5	680.79	722.2
peak18045	chr10	61561591	61571214	.	9624	18.64	20.28	24.76	19.45	21.58	14.24	20.05	21.63
peak18046	chr10	61584247	61616462	.	32216	1278.21	1255.44	1297.69	1306.09	1584.02	1577.4	1413.3	1605.11
peak18047	chr10	61618763	61648801	.	30039	1696.29	1806.28	1759.91	1736.21	2083.86	2117.45	1884.05	2003.81
peak18048	chr10	61705838	61734953	.	29116	728.76	807.67	743.77	730.09	814.48	854.43	834.89	801.52
peak18049	chr10	61748832	61849032	.	100201	1719.37	1873.03	1747.99	1759.4	1989.46	1965.18	1794.34	1910.06
peak18050	chr10	61854602	61861063	.	6462	59.47	67.59	69.7	59.84	64.73	63.53	60.16	65.94
peak18051	chr10	61865692	61884908	.	19217	261.86	254.3	283.38	249.1	243.63	248.66	270.21	248.29
peak18052	chr10	61894469	61899499	.	5031	67.46	57.45	80.7	53.11	67.42	64.63	63.33	60.78
peak18053	chr10	61910239	61915478	.	5240	72.79	67.59	75.2	54.61	56.64	56.96	62.27	84.48
peak18054	chr10	61921428	61944205	.	22778	596.5	644.62	621.79	677.73	756.95	750.36	725.12	694.38
peak18055	chr10	61968397	62038029	.	69633	1409.58	1355.14	1418.75	1390.62	1645.15	1598.22	1611.74	1508.27
peak18056	chr10	62044944	62070718	.	25775	250.32	259.37	242.11	243.86	242.73	242.09	249.1	244.17
peak18057	chr10	62073311	62080554	.	7244	58.58	55.76	56.86	66.58	55.74	58.06	67.55	61.81
peak18058	chr10	62083704	62266488	.	182785	5700.46	5586.13	5708.93	5615.58	6564.42	6468.45	6163.02	6299.9
peak18059	chr10	62351616	62426682	.	75067	1444.2	1421.88	1463.69	1378.65	1498.61	1452.53	1474.52	1501.06
peak18060	chr10	62483008	62487352	.	4345	11.54	6.76	13.76	6.73	16.18	14.24	13.72	18.54
peak18061	chr10	62509185	62552597	.	43413	192.62	206.14	202.68	189.26	157.32	211.42	186.82	235.92
peak18062	chr10	62651286	62676759	.	25474	1082.04	1045.92	1017.98	1042.78	1304.43	1301.36	1189.54	1229.07
