peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K27ac_Rep1_S5	Arm_P14_Day30_H3K27ac_Rep2_S6	Arm_P14_Day30_H3K27ac_Rep3_S7	Arm_P14_Day30_H3K27ac_Rep4_S8
peak20862	chr10	18430319	18431632	.	1314	4.92	6.97	6.82	2.4
peak20863	chr10	18469320	18471129	.	1810	4.1	16.92	5.96	5.6
peak20864	chr10	18526807	18528705	.	1899	13.11	9.95	21.3	9.59
peak20866	chr10	18915797	18919024	.	3228	149.16	135.33	143.12	123.09
peak20867	chr10	18922927	18925080	.	2154	26.23	28.86	14.48	25.58
peak20868	chr10	18930987	18932126	.	1140	36.06	47.76	30.67	37.57
peak20869	chr10	18941129	18942607	.	1479	13.11	8.96	14.48	6.39
peak20870	chr10	18946498	18948039	.	1542	88.51	65.67	72.41	59.15
peak20871	chr10	18953059	18954277	.	1219	9.02	14.93	11.93	15.99
peak20872	chr10	18963399	18965988	.	2590	79.5	118.41	99.67	84.72
peak20873	chr10	18985674	18987298	.	1625	13.11	12.94	13.63	5.6
peak20874	chr10	19009812	19016167	.	6356	391.75	404	425.94	338.9
peak20875	chr10	19042931	19044600	.	1670	49.99	61.69	50.26	61.55
peak20876	chr10	19060282	19064175	.	3894	732.68	717.45	714.72	657.01
peak20877	chr10	19064432	19065853	.	1422	64.74	85.58	59.63	62.34
peak20878	chr10	19066680	19069010	.	2331	123.75	128.36	129.49	129.48
peak20879	chr10	19093747	19095100	.	1354	27.05	28.86	35.78	35.97
peak20881	chr10	19103393	19105709	.	2317	193.41	184.09	150.78	186.23
peak20882	chr10	19116617	19117822	.	1206	2.46	2.99	1.7	1.6
peak20883	chr10	19127215	19128329	.	1115	7.38	7.96	8.52	3.2
peak20884	chr10	19167186	19168721	.	1536	158.17	202	206.15	171.05
peak20885	chr10	19170234	19172668	.	2435	381.91	374.15	362.05	356.48
peak20886	chr10	19184242	19189376	.	5135	496.65	506.49	529.87	525.13
peak20887	chr10	19192131	19192766	.	636	17.21	9.95	11.07	12.79
peak20888	chr10	19208635	19210644	.	2010	142.6	129.36	132.04	119.89
peak20889	chr10	19214585	19216875	.	2291	49.17	61.69	63.89	53.55
peak20890	chr10	19320930	19323195	.	2266	38.52	31.84	40.04	37.57
peak20891	chr10	19332423	19334419	.	1997	27.86	24.88	20.45	26.38
peak20894	chr10	19492805	19495930	.	3126	481.08	468.68	471.94	444.4
peak20895	chr10	19497765	19498929	.	1165	129.49	115.43	131.19	126.29
peak20896	chr10	19503309	19506994	.	3686	743.33	744.31	721.54	734.54
peak20897	chr10	19515946	19517369	.	1424	89.33	81.6	94.56	95.12
peak20898	chr10	19521258	19522879	.	1622	142.6	151.25	170.38	140.67
peak20899	chr10	19529466	19531278	.	1813	101.62	93.54	119.26	110.3
peak20900	chr10	19576941	19579050	.	2110	455.67	466.69	446.38	435.61
peak20901	chr10	19582122	19584724	.	2603	311.43	296.53	321.16	302.13
peak20902	chr10	19591350	19593996	.	2647	254.88	241.8	292.19	248.58
peak20903	chr10	19594363	19595143	.	781	55.73	68.66	69	55.15
peak20904	chr10	19596098	19598781	.	2684	173.75	172.15	161	131.88
peak20905	chr10	19611706	19614100	.	2395	104.9	96.52	103.08	107.1
peak20906	chr10	19619328	19620598	.	1271	27.05	15.92	26.41	14.39
peak20907	chr10	19687611	19688459	.	849	4.92	7.96	11.93	8.79
peak20908	chr10	19691520	19693609	.	2090	195.05	206.97	191.67	204.62
peak20910	chr10	19717733	19720141	.	2409	75.4	92.54	107.34	79.13
peak20914	chr10	19906908	19908053	.	1146	46.71	46.77	44.3	57.55
peak20915	chr10	19933408	19935795	.	2388	53.27	52.74	43.45	63.94
peak20916	chr10	19938771	19940053	.	1283	27.86	24.88	27.26	24.78
peak20918	chr10	19955052	19956606	.	1555	5.74	7.96	11.07	13.59
peak20919	chr10	19961243	19964106	.	2864	48.35	49.75	40.04	36.77
peak20920	chr10	19990868	19993378	.	2511	29.5	27.86	28.96	23.98
peak20921	chr10	19998484	20000430	.	1947	48.35	43.78	49.41	36.77
peak20922	chr10	20004456	20006439	.	1984	98.35	106.47	115.86	113.5
peak20923	chr10	20035976	20037575	.	1600	33.6	26.87	36.63	29.57
peak20924	chr10	20040256	20041425	.	1170	11.47	4.98	8.52	8.79
peak20925	chr10	20058511	20061491	.	2981	7.38	8.96	12.78	8.79
peak20926	chr10	20100413	20102020	.	1608	179.48	175.13	200.19	183.84
peak20927	chr10	20103426	20105359	.	1934	109	115.43	97.97	110.3
peak20928	chr10	20118448	20120434	.	1987	163.09	152.25	163.56	191.03
peak20930	chr10	20204442	20205870	.	1429	4.1	4.98	3.41	4
peak20931	chr10	20218754	20220436	.	1683	21.31	15.92	16.19	9.59
peak20933	chr10	20257024	20258632	.	1609	0.82	3.98	1.7	1.6
peak20934	chr10	20266828	20268731	.	1904	22.13	22.89	17.04	19.98
peak20935	chr10	20281048	20282803	.	1756	63.93	66.67	60.48	73.53
peak20937	chr10	20310889	20314122	.	3234	390.93	416.93	363.75	393.25
peak20938	chr10	20325833	20326978	.	1146	22.13	35.82	17.89	22.38
peak20939	chr10	20346835	20348144	.	1310	26.23	23.88	24.7	25.58
peak20942	chr10	20723558	20725531	.	1974	7.38	11.94	11.07	4.8
peak20943	chr10	20771053	20773039	.	1987	51.63	64.68	54.52	47.16
peak20944	chr10	20834316	20836007	.	1692	83.59	103.49	81.78	84.72
peak20945	chr10	20864075	20865802	.	1728	26.23	43.78	37.48	38.37
peak20946	chr10	20882028	20883738	.	1711	54.09	57.71	47.71	52.75
peak20947	chr10	20951483	20953449	.	1967	135.23	158.22	138.86	139.88
peak20948	chr10	21048135	21049285	.	1151	19.67	14.93	15.33	11.99
peak20949	chr10	21054294	21055951	.	1658	7.38	9.95	13.63	11.19
peak20950	chr10	21076536	21078209	.	1674	88.51	81.6	71.56	69.54
peak20951	chr10	21092235	21093735	.	1501	1.64	6.97	3.41	4
peak20952	chr10	21099185	21101312	.	2128	13.11	19.9	23	18.38
peak20954	chr10	21158076	21160526	.	2451	65.56	53.73	65.59	60.75
peak20956	chr10	21178024	21179914	.	1891	20.49	25.87	28.11	18.38
peak20957	chr10	21185788	21187464	.	1677	13.93	15.92	10.22	10.39
peak20959	chr10	21196135	21197369	.	1235	24.59	31.84	33.22	28.77
peak20960	chr10	21203819	21206081	.	2263	72.94	72.64	80.93	69.54
peak20961	chr10	21222375	21225053	.	2679	143.42	172.15	154.19	140.67
peak20962	chr10	21234630	21236901	.	2272	154.9	167.17	149.08	164.65
peak20963	chr10	21239317	21240038	.	722	15.57	20.9	16.19	13.59
peak20964	chr10	21240279	21241017	.	739	7.38	7.96	6.82	8.79
peak20965	chr10	21244732	21246561	.	1830	18.85	31.84	23	28.77
peak20966	chr10	21248390	21249231	.	842	0	2.99	2.56	5.6
peak20967	chr10	21251589	21253009	.	1421	25.41	37.81	38.33	30.37
peak20969	chr10	21268522	21269580	.	1059	26.23	17.91	19.59	14.39
peak20970	chr10	21295275	21297242	.	1968	99.17	122.39	92.85	87.92
peak20971	chr10	21312406	21314288	.	1883	16.39	11.94	20.45	17.58
peak20972	chr10	21318147	21319822	.	1676	26.23	22.89	29.82	27.18
peak20973	chr10	21327029	21328202	.	1174	11.47	10.95	10.22	13.59
peak20975	chr10	21357672	21359029	.	1358	18.85	21.89	31.52	18.38
peak20977	chr10	21418553	21420282	.	1730	37.7	46.77	38.33	33.57
peak20979	chr10	21469579	21471526	.	1948	18.03	12.94	24.7	16.79
peak20981	chr10	21478447	21480260	.	1814	107.36	109.46	91.15	109.5
peak20985	chr10	21618382	21619784	.	1403	45.08	47.76	48.56	38.37
peak20986	chr10	21659070	21660417	.	1348	40.16	35.82	28.96	24.78
peak20989	chr10	21881373	21882965	.	1593	49.99	42.79	33.22	37.57
peak20990	chr10	21904927	21909468	.	4542	549.92	551.27	570.76	585.08
peak20991	chr10	21911332	21912223	.	892	47.53	35.82	50.26	34.37
peak20992	chr10	21946062	21947786	.	1725	22.13	14.93	11.07	17.58
peak20993	chr10	21974697	21977328	.	2632	172.93	176.13	166.97	172.65
peak20994	chr10	21981895	21983143	.	1249	24.59	24.88	25.56	27.98
peak20995	chr10	21991030	21995344	.	4315	263.08	249.76	248.75	276.55
peak20996	chr10	22148040	22149927	.	1888	40.16	42.79	36.63	27.98
peak20997	chr10	22282666	22284252	.	1587	30.32	39.8	35.78	23.98
peak20998	chr10	22299064	22304211	.	5148	561.39	582.12	657.65	607.46
peak20999	chr10	22305768	22307209	.	1442	172.11	179.11	171.23	181.44
peak21003	chr10	22718502	22719353	.	852	22.95	23.88	21.3	15.19
peak21004	chr10	22730267	22732680	.	2414	212.26	213.94	187.41	198.22
peak21005	chr10	23076770	23078257	.	1488	20.49	15.92	17.89	13.59
peak21006	chr10	23782936	23783966	.	1031	25.41	17.91	28.96	31.97
peak21007	chr10	23785835	23788789	.	2955	120.47	95.53	104.78	123.09
peak21008	chr10	24148730	24150011	.	1282	27.86	24.88	28.11	30.37
peak21009	chr10	24291557	24293104	.	1548	17.21	10.95	17.04	19.18
peak21011	chr10	24635078	24636875	.	1798	129.49	121.4	106.48	103.91
peak21012	chr10	24639315	24641893	.	2579	121.29	108.46	106.48	121.49
peak21013	chr10	24650639	24652013	.	1375	42.62	53.73	45.15	39.96
peak21015	chr10	24710533	24714361	.	3829	198.33	221.9	201.04	219
peak21016	chr10	24752794	24755502	.	2709	477.8	504.5	454.05	458.79
peak21017	chr10	24822971	24824771	.	1801	38.52	59.7	55.37	67.94
peak21018	chr10	24869216	24870903	.	1688	56.55	56.72	41.74	62.34
peak21019	chr10	24927775	24929050	.	1276	8.2	12.94	15.33	13.59
peak21020	chr10	25118346	25119735	.	1390	20.49	18.91	16.19	22.38
peak21021	chr10	25150414	25152156	.	1743	8.2	1.99	13.63	4.8
peak21024	chr10	25296143	25297958	.	1816	12.29	11.94	5.96	10.39
peak21025	chr10	25359117	25361141	.	2025	23.77	24.88	22.15	33.57
peak21027	chr10	25387020	25388094	.	1075	4.92	1	5.96	3.2
peak21028	chr10	25403137	25405079	.	1943	6.56	8.96	7.67	8.79
peak21029	chr10	25425575	25426987	.	1413	9.02	5.97	10.22	3.2
peak21031	chr10	25455796	25458006	.	2211	38.52	35.82	38.33	24.78
peak21032	chr10	26202358	26204646	.	2289	36.88	36.82	30.67	35.97
peak21033	chr10	26227477	26232454	.	4978	381.09	379.12	383.34	375.66
peak21035	chr10	26321976	26323417	.	1442	44.26	51.74	56.22	35.17
peak21036	chr10	26323722	26327035	.	3314	206.53	197.02	209.56	191.83
peak21037	chr10	26350659	26352186	.	1528	11.47	10.95	14.48	7.99
peak21038	chr10	26358075	26359388	.	1314	17.21	20.9	19.59	19.98
peak21039	chr10	26363161	26365475	.	2315	201.61	208.96	187.41	204.62
peak21040	chr10	26372638	26374109	.	1472	46.71	37.81	36.63	54.35
peak21041	chr10	26375329	26377180	.	1852	110.64	110.45	78.37	127.09
peak21044	chr10	26520435	26521877	.	1443	48.35	66.67	80.08	50.36
peak21046	chr10	26562334	26564018	.	1685	12.29	7.96	12.78	7.99
peak21047	chr10	26584843	26586132	.	1290	15.57	15.92	10.22	10.39
peak21048	chr10	26694974	26696263	.	1290	4.1	3.98	2.56	3.2
peak21049	chr10	26759810	26761028	.	1219	10.65	10.95	9.37	9.59
peak21050	chr10	26771969	26773979	.	2011	96.71	111.45	98.82	106.31
peak21051	chr10	26784554	26786152	.	1599	24.59	25.87	29.82	29.57
peak21052	chr10	26798232	26801051	.	2820	458.13	475.64	442.12	434.01
peak21053	chr10	26827864	26829517	.	1654	61.47	55.72	49.41	58.35
peak21055	chr10	28488436	28490178	.	1743	51.63	34.83	28.11	34.37
peak21057	chr10	28498557	28500095	.	1539	19.67	13.93	11.07	19.98
peak21058	chr10	28512942	28514877	.	1936	118.84	105.48	86.04	96.71
peak21059	chr10	28515130	28519230	.	4101	464.69	465.69	429.35	490.76
peak21060	chr10	28519711	28520352	.	642	22.13	22.89	23.85	14.39
peak21061	chr10	28540248	28542715	.	2468	11.47	4.98	13.63	8.79
peak21062	chr10	28552785	28553961	.	1177	35.24	35.82	36.63	36.77
peak21063	chr10	28558950	28560368	.	1419	54.91	64.68	56.22	47.16
peak21064	chr10	28564062	28565137	.	1076	81.96	64.68	72.41	75.13
peak21065	chr10	28565835	28569320	.	3486	512.22	529.38	488.13	513.14
peak21066	chr10	28590644	28596144	.	5501	476.16	445.79	454.05	431.62
peak21067	chr10	28596620	28597633	.	1014	36.88	42.79	40.04	50.36
peak21068	chr10	28617726	28620580	.	2855	18.03	25.87	26.41	23.18
peak21069	chr10	28667849	28673356	.	5508	976.09	984.13	1012.03	943.96
peak21070	chr10	28673719	28674749	.	1031	227.84	216.93	172.08	161.46
peak21071	chr10	28675231	28676668	.	1438	287.66	263.69	264.93	274.16
peak21072	chr10	28677433	28678767	.	1335	228.65	203.99	194.23	187.83
peak21073	chr10	28682758	28683542	.	785	127.03	125.38	109.89	109.5
peak21074	chr10	28683848	28685724	.	1877	330.28	332.35	298.16	288.54
peak21075	chr10	28691886	28696339	.	4454	213.9	238.82	228.3	234.19
peak21076	chr10	28717857	28719111	.	1255	44.26	46.77	43.45	45.56
peak21077	chr10	28723897	28726478	.	2582	178.66	136.32	175.49	155.06
peak21078	chr10	28727277	28728962	.	1686	85.23	90.55	89.45	95.12
peak21079	chr10	28729333	28729926	.	594	38.52	37.81	40.89	20.78
peak21080	chr10	28745815	28746981	.	1167	25.41	23.88	20.45	19.98
peak21081	chr10	28752211	28753357	.	1147	40.98	33.83	40.89	35.17
peak21082	chr10	28764603	28766908	.	2306	45.08	35.82	45.15	37.57
peak21083	chr10	28775777	28777804	.	2028	86.87	89.56	103.08	87.92
peak21084	chr10	28779128	28782547	.	3420	168.83	162.2	166.97	159.06
peak21085	chr10	28803615	28805599	.	1985	66.38	74.63	57.93	63.94
peak21086	chr10	28814452	28816711	.	2260	64.74	85.58	63.89	63.94
peak21087	chr10	28841865	28844488	.	2624	93.43	95.53	104.78	84.72
peak21088	chr10	28855536	28856612	.	1077	23.77	21.89	23	19.18
peak21089	chr10	28858809	28860969	.	2161	49.17	51.74	56.22	58.35
peak21090	chr10	29312256	29314432	.	2177	118.02	119.41	123.52	122.29
peak21091	chr10	29356702	29358102	.	1401	25.41	38.81	40.89	35.17
peak21092	chr10	29360450	29362947	.	2498	109	113.44	120.11	116.7
peak21093	chr10	30189964	30191881	.	1918	36.88	25.87	24.7	45.56
peak21094	chr10	30198962	30201384	.	2423	136.87	131.35	163.56	132.68
peak21095	chr10	30536994	30539580	.	2587	177.02	240.81	203.6	197.42
peak21096	chr10	30549783	30551889	.	2107	111.46	94.53	109.89	104.71
peak21097	chr10	30559038	30560627	.	1590	23.77	12.94	40.04	27.98
peak21098	chr10	30569534	30570882	.	1349	22.13	23.88	28.11	26.38
peak21099	chr10	30599531	30601706	.	2176	131.95	144.29	132.89	128.69
peak21100	chr10	30617107	30619254	.	2148	331.1	319.42	329.68	351.69
peak21101	chr10	30654174	30657522	.	3349	114.74	136.32	98.82	118.29
peak21102	chr10	30715177	30717517	.	2341	119.65	109.46	115.86	128.69
peak21104	chr10	30801627	30804275	.	2649	124.57	141.3	132.04	169.45
peak21105	chr10	30810426	30812641	.	2216	35.24	32.84	42.59	34.37
peak21106	chr10	31312226	31314559	.	2334	145.06	153.24	148.23	145.47
peak21108	chr10	33949577	33951924	.	2348	277.01	268.67	282.82	272.56
peak21110	chr10	34018398	34021063	.	2666	252.42	277.62	247.9	253.37
peak21111	chr10	34029631	34031588	.	1958	96.71	90.55	74.11	81.53
peak21112	chr10	34073978	34075661	.	1684	15.57	8.96	14.48	11.99
peak21113	chr10	34110039	34111801	.	1763	122.11	119.41	107.34	122.29
peak21114	chr10	34117299	34118680	.	1382	68.84	78.61	67.3	70.34
peak21115	chr10	34126821	34128937	.	2117	142.6	157.22	120.11	124.69
peak21116	chr10	34169790	34174538	.	4749	611.39	604.01	517.94	585.08
peak21117	chr10	34175916	34177026	.	1111	18.03	21.89	23	27.98
peak21118	chr10	34185244	34187857	.	2614	66.38	74.63	67.3	69.54
peak21119	chr10	34196830	34199014	.	2185	227.84	216.93	208.71	230.19
peak21120	chr10	34205970	34207793	.	1824	44.26	46.77	48.56	61.55
peak21121	chr10	34233280	34236241	.	2962	29.5	31.84	35.78	36.77
peak21122	chr10	34280567	34284500	.	3934	244.23	278.62	246.19	275.75
peak21123	chr10	34296757	34300202	.	3446	115.56	141.3	103.93	124.69
peak21124	chr10	34416001	34419423	.	3423	298.32	259.71	285.38	285.35
peak21125	chr10	36157018	36159560	.	2543	53.27	45.77	49.41	59.95
peak21126	chr10	36703016	36704333	.	1318	2.46	0	1.7	0
peak21127	chr10	36973783	36976031	.	2249	138.5	147.27	137.15	156.66
peak21128	chr10	37138864	37140791	.	1928	21.31	27.86	27.26	27.98
peak21129	chr10	37192306	37193576	.	1271	7.38	2.99	10.22	6.39
peak21132	chr10	37235306	37237968	.	2663	23.77	23.88	18.74	20.78
peak21134	chr10	37336358	37339521	.	3164	186.86	169.16	183.15	197.42
peak21135	chr10	37617965	37619364	.	1400	0.82	2.99	2.56	3.2
peak21136	chr10	38880601	38881635	.	1035	4.92	3.98	2.56	1.6
peak21137	chr10	38883458	38886038	.	2581	25.41	20.9	18.74	12.79
peak21138	chr10	38916464	38918329	.	1866	0.82	3.98	2.56	0.8
peak21139	chr10	39005207	39006950	.	1744	8.2	12.94	14.48	13.59
peak21141	chr10	39022150	39024997	.	2848	72.12	89.56	61.34	60.75
peak21142	chr10	39133281	39134695	.	1415	31.14	35.82	35.78	27.18
peak21143	chr10	39170792	39172693	.	1902	74.58	95.53	97.97	99.91
peak21144	chr10	39190448	39194593	.	4146	304.87	321.41	306.68	356.48
peak21145	chr10	39241420	39242613	.	1194	36.88	35.82	36.63	36.77
peak21146	chr10	39265649	39267448	.	1800	25.41	9.95	15.33	22.38
peak21147	chr10	39292293	39294235	.	1943	16.39	15.92	17.89	23.98
peak21151	chr10	39337674	39341221	.	3548	347.49	370.17	339.05	333.3
peak21153	chr10	39368514	39372304	.	3791	227.02	181.1	184.86	195.83
peak21154	chr10	39385639	39387603	.	1965	56.55	63.68	59.63	62.34
peak21155	chr10	39393782	39395476	.	1695	59.83	53.73	39.19	59.15
peak21156	chr10	39401359	39403340	.	1982	113.1	137.32	139.71	113.5
peak21157	chr10	39412930	39413795	.	866	31.14	23.88	33.22	27.98
peak21158	chr10	39419759	39421817	.	2059	93.43	110.45	117.56	104.71
peak21159	chr10	39430419	39431320	.	902	40.98	38.81	32.37	39.17
peak21160	chr10	39432394	39436884	.	4491	251.6	235.83	211.27	234.19
peak21161	chr10	39442551	39444280	.	1730	38.52	55.72	53.67	53.55
peak21162	chr10	39447482	39449891	.	2410	125.39	106.47	112.45	121.49
peak21163	chr10	39453928	39456736	.	2809	291.76	304.49	263.23	285.35
peak21164	chr10	39461975	39463599	.	1625	255.7	270.66	276.01	255.77
peak21165	chr10	39468788	39470677	.	1890	340.93	379.12	348.42	334.1
peak21166	chr10	39471157	39471636	.	480	101.62	87.57	98.82	95.12
peak21167	chr10	39472075	39472921	.	847	165.55	149.26	148.23	143.07
peak21168	chr10	39478804	39480601	.	1798	514.68	514.45	530.72	519.54
peak21169	chr10	39486356	39487422	.	1067	168.83	152.25	120.11	142.27
peak21170	chr10	39487684	39489713	.	2030	307.33	304.49	286.23	297.33
peak21171	chr10	39505387	39507320	.	1934	129.49	166.18	133.74	139.08
peak21172	chr10	39513383	39515564	.	2182	247.5	237.82	227.45	227.8
peak21173	chr10	39517131	39520725	.	3595	232.75	258.72	221.49	239.79
peak21174	chr10	39521562	39523400	.	1839	54.09	68.66	45.15	49.56
peak21175	chr10	39537784	39539487	.	1704	23.77	30.85	28.96	35.17
peak21176	chr10	39539935	39540896	.	962	11.47	17.91	24.7	16.79
peak21178	chr10	39564012	39565363	.	1352	18.85	23.88	21.3	13.59
peak21179	chr10	39590117	39591200	.	1084	13.11	13.93	10.22	15.19
peak21180	chr10	39599605	39600979	.	1375	49.17	39.8	37.48	47.16
peak21181	chr10	39612010	39614471	.	2462	275.37	247.77	264.08	274.95
peak21182	chr10	39623322	39626201	.	2880	115.56	123.39	139.71	134.28
peak21184	chr10	39665823	39666965	.	1143	24.59	15.92	19.59	11.19
peak21185	chr10	39689744	39692389	.	2646	37.7	42.79	41.74	39.96
peak21187	chr10	39730758	39734193	.	3436	195.87	216.93	209.56	237.39
peak21188	chr10	39764755	39768687	.	3933	87.69	88.56	67.3	96.71
peak21189	chr10	39773103	39775186	.	2084	44.26	39.8	39.19	51.15
peak21190	chr10	39775492	39777752	.	2261	22.95	10.95	17.04	23.98
peak21191	chr10	39791642	39794325	.	2684	158.17	169.16	167.82	148.67
peak21192	chr10	39898039	39899876	.	1838	29.5	34.83	28.11	19.18
peak21196	chr10	39989881	39991643	.	1763	10.65	16.92	12.78	9.59
peak21197	chr10	40068641	40072877	.	4237	63.11	50.75	72.41	55.15
peak21198	chr10	40089662	40091297	.	1636	13.93	6.97	14.48	12.79
peak21199	chr10	40140724	40142757	.	2034	12.29	10.95	21.3	16.79
peak21200	chr10	40162941	40166493	.	3553	40.98	46.77	40.89	43.96
peak21201	chr10	40190898	40192048	.	1151	8.2	12.94	14.48	6.39
peak21202	chr10	40231743	40234032	.	2290	40.16	38.81	39.19	35.17
peak21204	chr10	40245996	40247715	.	1720	48.35	47.76	51.96	57.55
peak21205	chr10	40256700	40259771	.	3072	268.81	260.71	258.97	293.34
peak21206	chr10	40300421	40303214	.	2794	68.84	62.69	59.63	87.12
peak21207	chr10	40309338	40311304	.	1967	17.21	27.86	30.67	18.38
peak21208	chr10	40347420	40350614	.	3195	304.87	273.64	259.82	264.56
peak21209	chr10	40370391	40372876	.	2486	177.02	184.09	156.75	183.84
peak21210	chr10	40375618	40376653	.	1036	33.6	34.83	42.59	38.37
peak21211	chr10	40380496	40381912	.	1417	54.91	53.73	54.52	41.56
peak21212	chr10	40384735	40387291	.	2557	408.14	430.87	380.79	411.63
peak21213	chr10	40399819	40401410	.	1592	172.11	167.17	156.75	135.88
peak21214	chr10	40418242	40418896	.	655	14.75	23.88	20.45	19.18
peak21215	chr10	40419387	40422687	.	3301	87.69	100.5	83.48	75.13
peak21216	chr10	40427959	40429659	.	1701	15.57	20.9	21.3	14.39
peak21217	chr10	40447317	40448793	.	1477	72.12	78.61	80.93	69.54
peak21219	chr10	40451289	40452560	.	1272	55.73	49.75	56.22	78.33
peak21220	chr10	40461261	40463199	.	1939	60.65	63.68	51.11	57.55
peak21221	chr10	40475791	40480428	.	4638	349.13	389.07	333.08	364.47
peak21223	chr10	40514816	40516041	.	1226	4.92	11.94	11.93	8.79
peak21224	chr10	40525893	40528599	.	2707	52.45	53.73	37.48	43.96
peak21225	chr10	40869186	40870623	.	1438	27.05	18.91	17.89	19.98
peak21227	chr10	40882050	40883634	.	1585	126.21	159.21	148.23	177.44
peak21228	chr10	41287779	41289135	.	1357	23.77	23.88	28.96	21.58
peak21229	chr10	41302130	41304592	.	2463	81.96	74.63	77.52	75.93
peak21230	chr10	41449338	41451141	.	1804	118.84	124.38	103.93	128.69
peak21231	chr10	41472203	41478103	.	5901	514.68	454.75	529.87	543.52
peak21232	chr10	41487121	41491033	.	3913	102.44	101.5	103.93	79.13
peak21233	chr10	41518186	41521588	.	3403	348.31	369.17	340.75	369.27
peak21234	chr10	41524729	41526195	.	1467	97.53	82.59	103.08	87.12
peak21235	chr10	41526707	41527713	.	1007	61.47	70.65	69	56.75
peak21236	chr10	41529240	41531191	.	1952	184.4	180.11	171.23	169.45
peak21237	chr10	41535960	41537447	.	1488	53.27	42.79	44.3	55.95
peak21238	chr10	41551728	41553579	.	1852	57.37	59.7	69.85	59.95
peak21239	chr10	41594534	41596495	.	1962	87.69	72.64	90.3	63.14
peak21240	chr10	41602127	41605566	.	3440	20.49	16.92	18.74	14.39
peak21241	chr10	41614945	41616037	.	1093	6.56	7.96	8.52	9.59
peak21242	chr10	41619323	41620815	.	1493	17.21	20.9	23.85	15.99
peak21243	chr10	41633403	41634449	.	1047	4.92	1.99	3.41	7.19
peak21244	chr10	41635016	41635972	.	957	9.02	1.99	3.41	6.39
peak21247	chr10	41750698	41752716	.	2019	21.31	22.89	17.89	22.38
peak21248	chr10	41766184	41768240	.	2057	64.74	39.8	33.22	34.37
peak21249	chr10	41809034	41811608	.	2575	246.69	275.63	224.9	245.38
peak21250	chr10	41822053	41823397	.	1345	28.68	22.89	23.85	31.17
peak21251	chr10	41879940	41882566	.	2627	27.05	29.85	27.26	17.58
peak21252	chr10	41886773	41890992	.	4220	122.93	145.28	116.71	114.3
peak21253	chr10	41898771	41900841	.	2071	42.62	39.8	37.48	48.76
peak21254	chr10	41909402	41911439	.	2038	25.41	23.88	11.07	24.78
peak21255	chr10	41936373	41938261	.	1889	69.66	64.68	63.89	60.75
peak21257	chr10	41972464	41973578	.	1115	23.77	27.86	34.93	24.78
peak21258	chr10	41977676	41979913	.	2238	235.21	224.89	259.82	224.6
peak21259	chr10	42027060	42028707	.	1648	8.2	7.96	11.93	14.39
peak21260	chr10	42055376	42058294	.	2919	50.81	42.79	55.37	55.95
peak21261	chr10	42067696	42070241	.	2546	57.37	49.75	78.37	82.33
peak21262	chr10	42088513	42090059	.	1547	12.29	12.94	8.52	22.38
peak21263	chr10	42192507	42196217	.	3711	73.76	84.58	73.26	87.92
peak21264	chr10	42199990	42201582	.	1593	12.29	13.93	10.22	11.19
peak21265	chr10	42219746	42221637	.	1892	48.35	52.74	46	45.56
peak21266	chr10	42227508	42230393	.	2886	22.95	15.92	17.04	17.58
peak21267	chr10	42268531	42271999	.	3469	211.44	212.95	187.41	201.42
peak21268	chr10	42273551	42274505	.	955	16.39	22.89	26.41	25.58
peak21269	chr10	42276066	42278779	.	2714	273.73	288.57	247.04	325.31
peak21270	chr10	42477421	42479106	.	1686	118.84	133.34	125.23	118.29
peak21271	chr10	42500864	42503630	.	2767	404.86	396.04	356.08	416.43
peak21272	chr10	42517899	42518728	.	830	27.86	20.9	17.89	17.58
peak21273	chr10	42632391	42634273	.	1883	23.77	21.89	19.59	15.19
peak21274	chr10	42678312	42680376	.	2065	78.68	83.59	85.19	73.53
peak21275	chr10	42698318	42699672	.	1355	13.11	15.92	11.93	11.19
peak21276	chr10	42701142	42702916	.	1775	21.31	13.93	20.45	11.19
peak21277	chr10	42760950	42763318	.	2369	77.04	64.68	66.45	79.93
peak21278	chr10	42837595	42839907	.	2313	240.95	243.79	228.3	237.39
peak21279	chr10	42842521	42843950	.	1430	66.38	47.76	51.11	47.96
peak21280	chr10	42847954	42849578	.	1625	27.86	23.88	29.82	26.38
peak21281	chr10	42859583	42864681	.	5099	503.2	552.26	507.72	493.96
peak21282	chr10	42867251	42869977	.	2727	67.2	72.64	84.34	74.33
peak21283	chr10	42875772	42878442	.	2671	22.13	21.89	28.96	23.98
peak21284	chr10	42886330	42889037	.	2708	381.91	370.17	331.38	331.7
peak21285	chr10	42895639	42902989	.	7351	295.04	357.23	268.34	271.76
peak21286	chr10	42933617	42935437	.	1821	19.67	25.87	36.63	27.18
peak21287	chr10	42961262	42963474	.	2213	142.6	176.13	164.41	175.84
peak21290	chr10	43091078	43092476	.	1399	6.56	4.98	6.82	4.8
peak21292	chr10	43220408	43222541	.	2134	74.58	91.55	106.48	102.31
peak21293	chr10	43329794	43331731	.	1938	28.68	21.89	27.26	17.58
peak21296	chr10	43371733	43372922	.	1190	18.03	13.93	21.3	13.59
peak21297	chr10	43451517	43453122	.	1606	16.39	24.88	31.52	24.78
peak21298	chr10	43479756	43481001	.	1246	28.68	28.86	25.56	30.37
